mineral_name,strunz_number
Bismuth,01.CA.05
Bismuth,01.CA.05
Bismuth,01.CA.05
Bismuth,01.CA.05
Bismuth,01.CA.05
Bismuth,01.CA.05
Tellure,01.CC.10
Tellure,01.CC.10
Tellure,01.CC.10
Tellure,01.CC.10
Tellure,01.CC.10
Tellure,01.CC.10
Tellure,01.CC.10
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or (moulage) imitation,
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Or,01.AA.05
Iridium,
Iridium,
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent,01.AA.05
Argent/cuivre,
Electrum [pas une espèce],
Electrum,
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Cuivre,01.AA.05
Plomb,01.AA.05
Plomb,01.AA.05
Plomb,01.AA.05
Plomb,01.AA.05
Plomb,01.AA.05
Mercure,01.AD.05
Mercure,01.AD.05
Amalgame [pas une espèce],
Amalgame,01.AD.00
Amalgame,01.AD.00
Amalgame,01.AD.00
Amalgame,01.AD.00
Amalgame,01.AD.00
Amalgame,01.AD.00
Amalgame,01.AD.00
Amalgame,01.AD.00
Amalgame,01.AD.00
Amalgame,01.AD.00
Osmium,
Osmium,
Platine,01.AF.10
Platine,01.AF.10
Platine,01.AF.10
Platine,01.AF.10
Platine,01.AF.10
Platine,01.AF.10
Platine,01.AF.10
Platine,01.AF.10
Platine,01.AF.10
Platine,01.AF.10
Fer,01.AE.05
Fer,01.AE.05
Fer,01.AE.05
Pyrrhotine,
Fer,01.AE.05
Fer,01.AE.05
Fer,01.AE.05
Awaruite,
Awaruite,
Awaruite,
Iodargyrite,03.AA.10
Iodargyrite,03.AA.10
Iodargyrite,03.AA.10
Iodargyrite,03.AA.10
Iodargyrite,03.AA.10
Villiaumite,03.AA.20
Villiaumite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Halite,03.AA.20
Sylvine,
Sylvine,
Chlorargyrite,03.AA.15
Chlorargyrite,03.AA.15
Chlorargyrite,03.AA.15
Chlorargyrite,03.AA.15
Chlorargyrite,03.AA.15
Chlorargyrite,03.AA.15
Chlorargyrite,03.AA.15
Bromargyrite,03.AA.15
Bromian Chlorargyrite / Chlorian Bromargyrite,
Bromian Chlorargyrite / Chlorian Bromargyrite,
Bromian Chlorargyrite / Chlorian Bromargyrite,
Bromian Chlorargyrite / Chlorian Bromargyrite,
Bromian Chlorargyrite / Chlorian Bromargyrite,
Bromargyrite,03.AA.15
Sal ammoniac,
Sal ammoniac,
Sal ammoniac,
Sal ammoniac,
Sal ammoniac,
Calomel,03.AA.30
Calomel,03.AA.30
Calomel,03.AA.30
Calomel,03.AA.30
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,03.AB.25
Fluorite,
Fluorite,03.AB.25
Fluorite,
Fluorite,
Fluorite,03.AB.25
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorine,
Fluorite,
Fluorine,
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,
Fluorine,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorite,
Fluorite,03.AB.25
Fluorine,
Fluorine,
Fluorine,
Fluorite,
Fluorite,03.AB.25
Fluorite,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorite,
Fluorine,
Fluorite,
Fluorite,
Fluorite,
Fluorine,
Fluorine,
Fluorite,
Fluorite,
Fluorite,
Fluorite,
Fluorine,
Fluorine,
Fluorite,03.AB.25
Fluorine,
Fluorite,
Fluorite,
Fluorite,03.AB.25
Fluorite,
Fluorite,
Fluorite,03.AB.25
Fluorite,
Fluorite,03.AB.25
Fluorite,
Fluorite,
Fluorite,03.AB.25
Fluorine,
Fluorine,
Fluorite,
Fluorite,
Fluorine,
Fluorine,
Fluorine,
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorite,03.AB.25
Fluorine,
Fluorine,
