catalog_number,location
47207,"Tierra Amarilla, Copiapo, Atacama, Chile"
46313,"Santa Cruz de Herdola, Barcelona, Spain"
46314,"Pipjigletscher, Oberems, Valais, Switzerland"
46315,Mexico
46317,"Salzbergwerk Stetten, Haigerloch, Baden-Württemberg, Germany"
46318,"Küttigen, Aargau, Switzerland"
15106,"Harz, Germany"
15107,"Laurion, Greece"
15108,"Nertschinsk, Ural, Sibirien, USSR"
15109,"Chessy near Lyon, France"
15110,"Raibl, Kärnten, Austria"
15111,"Steiermark, Austria"
15112,"Eisenerz, Steiermark, Austria"
15117,"Rheinbreitenbach südl. Bonn, Germany"
15118,"Alp Scarpiola, Medels im Rheinwald, Grisons, Switzerland"
15119,"Krunkelbachtal, Menzenschwand, St. Blasien, Waldshut, Baden-Württemberg, Germany"
15120,"Garo, Colorado, USA"
15121,"Wölsendorf, Oberpfalz, Germany"
15122,"Hamburg, Germany"
15124,"Riechelsdorf, Hesse, Germany"
15125,"Schneeberg, Hesse, Germany"
15126,"Bieber, Hesse, Germany"
15129,"Auerbach, Oberpfalz, Germany"
15130,"Mount Widdern, Victoria, Australia"
15131,"Yuma County, Arizona, USA"
28071,"Quarry Kleinkembs, Baden, Germany"
28072,"Val Giumella, Tirol, Italy"
28073,"Mainzerbecken, Germany"
1,"Hinderi Wase (Hinterwasen, beim Fieschergletscher), Fieschertal, Valais, Switzerland"
12,"Nyons near Montélimar, Drôme, France"
14,"San Luis Potosi, Mexico"
15,"Lynch Station, Virginia, USA"
16,"Lake Katwe (Lake Edward), Uganda"
18,"Mina Asturietta, Eugui, Navarra, Spain"
27,"Figgerscha, Binn, Valais, Switzerland"
28,"Rhonegletscher, Oberwald, Valais, Switzerland"
29,"Minas Gerais, Brazil"
30,"Durango, Mexico"
31,"Mapimi, Durango, Mexico"
32,"Gabbs, Nevada, USA"
34,"Crapteig, Thusis, Grisons, Switzerland"
35,"Val da Dusch, Paspels, Grisons, Switzerland"
36,"Mine Herznach, Herznach, Aargau, Switzerland"
37,"Baja Sprie, Romania (Felsöbanya, Hungary)"
38,"Cruzeiro-Mine, Minas Gerais, Brazil"
39,"Tsumeb, Namibia"
40,"Altenberg, Germany"
43,"Fichtelgebirge, Bavaria, Germany"
45,"Fichtel (-gebirge, Bavaria), Germany"
48,"Ochsenkopf, Fichtelgebirge, Bavaria, Germany"
50,"Aschaffenburg, Bavaria, Germany"
51,"Epprechtstein, Fichtelgebirge, Bavaria, Germany"
53,"Ilmenau, Thuringia, Germany"
54,"Königshainer Berge near Görlitz, Silesia, Poland"
55,"Fuchsberg near Striegau, Silesia, Poland"
56,"Hirschberg, Silesia, Poland"
57,"Fischbach, Riesengebirge (Czechoslovakia od. Poland)"
62,"Stonsdorf near Warnbrunn, Germany"
81,"St. Ilario, Island Elba, Italy"
84,"San Piero, Campo, Island Elba, Italy"
87,"Campo, Island Elba, Italy"
90,"Piona Olgiasca, Lago di Como, Italy"
244,"Andernach, Rheinland, Germany"
4434,"Montmartre, Paris, France"
4436,Niederösterreich
4437,Austria
4438,"Hallstoff (Hallstadt, Austria)"
4439,"Iborra, Spain"
4440,"Tarragona, Spain"
4441,"Zaragoza, Spain"
4442,"Girgenti, Sizilien, Italy"
4443,"Pisa, Italy"
4444,"Grosseto, Italy"
4445,"Bologna, Italy"
4446,"Oxford, England, United Kingdom"
4449,"Felsford, England, United Kingdom"
4450,"Kykladen, Greece"
4451,"Schemnitz, Hungary"
4452,Hungary
4453,"Slovakia, Czechoslovakia"
4456,"Barbados, Kleine Antillen"
4457,"Victoria, Australia"
4459,"Poland, Ohio, USA"
4460,"Ohio, USA"
4461,"Niagarafälle, USA"
4462,Banca
4463,Japan
4464,"Lehmwüste, Teheran, Iran"
4465,"Rio Grande, Nord-Brasilien"
4466,"Kabylien, Algeria"
4467,Nordafrika
4468,Süd-Algerien
4469,"Vralinka, Hungary"
4470,"Wadi el Natron, Egypt"
4471,"Sizilien, Italy"
4472,"Stassfurt, Magdeburg, Germany"
4473,"Dienze, Lothringen, France"
4474,"Ischl, Austria"
4476,"Kalusz, Galizien, Poland"
4477,"Idria, Krain, Slovenien, Yugoslavia"
4478,"Huancavelica, Lima, Peru"
4479,"Pignone near Spezia, Italy"
4482,Stahlberg (France od. Germany)
4483,"Solfatara, Pozzuoli, Napoli, Italy"
4484,"Waygang, Java"
4485,"Newhaven, England, United Kingdom"
4486,"aus dem Garten des Pädagogiums, Halle, Thuringia, Germany"
4487,"Boiséjour near Rogat, Puy de Dôme, Auvergne, France"
4488,"Rudain, Bohemia, Czechoslovakia"
4489,"Friesdorf near Bonn, Germany"
4495,"Puy-de-Sancy, Auvergne, France"
4496,"Beregsacz, Hungary"
4497,"Derber, Hungary"
4498,"Misay, Hungary"
4499,"Spania Dolina (Herrengrund), Banska Bystrica, Slovakia"
4501,Bolivia
4503,"Hodrisch, Hungary"
4506,Chile
4509,"Solfatara, Italy"
4510,"Hallstadt, Austria"
4512,"Remolinos Vellinor, Chile"
4513,"Northern Lights Mine, Virgin Valley District, Nevada, USA"
4514,"Leadhills, Scotland, United Kingdom"
4518,"Red Gill, Cumberland, United Kingdom"
4519,"England, United Kingdom"
4522,"San Bernardino, California, USA"
4524,"Herrengrund, Hungary"
4528,"Sibirien, USSR"
4529,"Metcalfe Mine, Clifton, Greenlec County, Arizona, USA"
4530,"Beaujolais, France"
4533,"Wüste Atacama, Chile"
4534,"Garonne, France"
4538,"Jekaterinburg, Ural, USSR"
4548,"Estepona, Málaga, Spain"
4549,Erzgebirge (Germany od. Czechoslovakia)
4550,"Piemonte, Italy"
4551,"Traversella, Piemont, Italy"
4552,"Traversella, Piemonte, Italy"
4558,"Gera, Thuringia, Germany"
4559,"Arizona, USA"
4560,"Idaho, USA"
4562,"Riesengrund, Germany"
4570,"Lillschacht, Przibram, Bohemia, Czechoslovakia"
4571,"Hammersbach, Germany"
4572,Villouch
4573,"Kärnten, Austria"
4574,"Bleiberg, Kärnten, Austria"
4583,"Tombstone, Arizona, USA"
4588,"San Francisco, California, USA"
4589,"Utah, USA"
4591,"New Mexico, USA"
4592,"Sierra Almagrera, Portugal"
4594,"Denver, Colorado, USA"
4595,"Queensland, Australia"
4600,Portugal
4604,"Altenberg, Saxony, Germany"
4605,"St. Léonard, France"
4606,Schneeberg
4611,"Raade, Norway"
4615,"Fairfield, Utah, USA"
4616,"Franklin, New Jersey, USA"
4620,"Thomas Range, Juab County, Utah, USA"
4622,"Dolny Bory, Czechoslovakia"
4623,"Muttenhörner, Oberwald, Valais, Switzerland"
4624,"Chriegalp, Grengiols, Valais, Switzerland"
4625,"Lochberg-Gletschhorn, Göschenen, Uri, Switzerland"
766,"Waldheim, Saxony, Germany"
768,"Carrache, France"
769,"Texas, USA"
770,"Pennsylvania, USA"
771,"Easton, USA"
773,"Orbeilla, Piemonte, Italy"
774,"Oedenberg, Sterzing, Trentino-Alto Adige, Italy"
775,"Taberg, Sweden"
776,"Pregarten, Tirol, Austria"
777,"Sterzing, Trentino-Alto Adige, Italy"
779,"Schneeberg, Sterzing, Trentino-Alto Adige, Italy"
780,"Hautes Pyrénées, France"
781,"Carrade, Dépt. Var, France"
782,"Corse (Korsika), France"
783,"Dillenburg, Nassau, Germany"
784,"Schneeberg, Saxony, Germany"
786,"Zöblitz, Saxony, Germany"
787,"Reichenstein, Silesia, Poland"
789,"Chemnitz, Saxony, Germany"
790,"Kikombo, Tanganjika, Tanzania"
791,"Rei-Kunatsu-Seki, Japan"
792,"Black Lake, Canada"
793,"Breatford, Canada"
794,"Thetford, Quebec, Canada"
795,"Texas, Pennsylvania, USA"
797,"Sibirien, Russia"
800,"Snarum, Norway"
803,"Saxony, Germany"
808,"Kals, Kogel, Tirol, Austria"
809,"Vénasque, Pyrénées, France"
811,"Venice, Louisiana, USA"
812,"Ersby, Finland"
814,Finland
816,"Ural, Russia"
817,"Greiner, Zillertal, Tirol, Austria"
820,"Vorau, Steiermark, Austria"
821,"Val Malenco, Italy"
822,"Göpfersgrün near Wunsiedel, Fichtelgebirge, Bavaria, Germany"
827,"Dauphiné, France"
828,"Kosemütz, Silesia, Poland"
829,Neu-Kaledonien
831,"Numea, Neu-Kaledonien"
833,"Predazzo, Fassatal, Südtirol, Italy"
837,"Frankenstein, Silesia, Poland"
839,"Island Milos, Kykladen, Greece"
840,"Anatolien, Turkey"
841,"Dalarne, Sweden"
842,"Sterling Hill, New Jersey, USA"
844,"Friedensville, Pennsylvania, USA"
845,"Ruby Hill, Nevada, USA"
846,"Szaszka, Banat, Romania"
847,"Santander, Spain"
851,"Oberschlesien, Poland"
852,"Tarnowitz, Silesia, Poland"
853,"Agruyan, Sardinien, Italy"
854,"Altenberg near Aachen, Germany"
858,"Berg Altin Tube, Kirgisensteppe, USSR"
859,"Kirgisensteppe, Sibirien, Russia"
863,Afrika
864,Zaire (Congo)
866,"Schwarzenberg, Saxony, Germany"
869,"Ostsibirien, Russia"
870,"Katanga, Zaire (Congo)"
874,"Copiapo, Atacama, Chile"
875,"California, USA"
878,Australia
880,"Jernbach, Tirol, Austria"
882,Spain
883,"Freye, Bohemia, Czechoslovakia"
884,"Lisens, Tirol, Austria"
891,"Gefrees, Fichtelgebirge, Bavaria, Germany"
892,"Bavaria, Germany"
894,"Rossburg, Saxony, Germany"
895,"Archamp, Haute Savoie, France"
896,"Allier, France"
897,"Massachusetts, USA"
898,Brazil
899,"West-Böhmen, Czechoslovakia"
900,"Val de Lys, Haute Garonne, France"
901,"Col de Peyresourde, Haute Garonne, France"
902,"Route du Lac d'Oc, France"
903,"Forges de Valles, France"
904,"Haute Garonne, France"
905,"Ste. Brigitte, Bretagne, France"
906,"Bretagne, France"
909,"Tanganjika, Tanzania"
910,"Goldkoppe, Tirol, Austria"
