catalog_number,location
12829,"Heilbronn, Württemberg, Germany"
12836,"Dieuze, Lothringen"
12853,"Triftgebiet near Guttannen, Bern, Switzerland"
12854,"Giulia, Island Elba, Italy"
12857,"South Australia, Australia"
12864,"Rockeskyll, Eifel, Rheinland, Germany"
12867,"Rüschberg, Nahe"
12869,"Schächental, Unterschächen, Uri, Switzerland"
12872,"Quarry Thayngen, Schaffhausen, Switzerland"
12873,"Bourg d'Oisans, Isère, Rhône-Alpes, France"
12874,"Island St. Paul, Alaska, USA"
12881,Albtal
12882,"Vosges, France"
12883,"Monte Piottino, Rodi-Fiesso, Ticino, Switzerland"
12890,"Schima, Bohemia, Czechoslovakia"
12898,"Rammelsberg near Goslar, Harz, Germany"
16320,Sardinien
16321,"Jakobsgrube, Echery (Eckirch), Sainte-Marie-aux-Mines (Markirch), Haut-Rhin, France"
12906,"Saastal, Saas Almagell, Valais, Switzerland"
12908,"Balmenwald, Silenen, Uri, Switzerland"
12921,"Bündnerchälen (Bündnerkehle), Silenen, Uri, Switzerland"
12931,"Brunnifirn, Silenen, Uri, Switzerland"
12939,"Niderchäseren, Silenen, Uri, Switzerland"
12944,"Fahrlauital (Fahrlaui), Silenen, Uri, Switzerland"
12986,"Fruttli, Intschitobel, Gurtnellen, Uri, Switzerland"
12989,"Littplanggenstock, Maderanteral, Silenen, Uri, Switzerland"
12990,"Lungernstutztal, Silenen, Uri, Switzerland"
13898,"Balme (Balmen), Binn, Valais, Switzerland"
13900,"Rocca Castellaccio, Torre di Santa Maria, Province Sondrio, Italy"
13903,"Mättital, Grengiols, Valais, Switzerland"
13904,"San Bernardino, Grisons, Switzerland"
13905,"Silvretta, Klosters-Serneus, Grisons, Switzerland"
13906,"Acquanegra, Campo Franscia, Province Sondrio, Italy"
13907,"Grono-Buseno, Grisons, Switzerland"
13908,"Lukmanierstrasse, Switzerland"
13909,"Täschalp (Täschtal), Täsch, Valais, Switzerland"
13910,"Muttgletscher (Gratschliechtgletscher), Oberwald, Valais, Switzerland"
13912,"Corno di Ban, Valdo, Verbano-Cusio-Ossola, Italy"
13913,"Moscia, Ascona, Ticino, Switzerland"
13914,"Bocchetta del Lago Nero, Bignasco, Ticino, Switzerland"
13915,"Zmut near Mörel, Valais, Switzerland"
13917,"Pizzo San Giacomo, Bedretto, Ticino, Switzerland"
13918,"Valle d'Ossola, Switzerland"
13924,"Jeizinen,Gampel-Bratsch, Valais, Switzerland"
13952,"unterh. Hausegg/nähe Passhöhe, Guttannen, Bern, Switzerland"
13956,"Firn des Dammagletscher, Göschenen, Uri, Switzerland"
13959,"Tiefjoch am Dammastock, Göschenen, Uri, Switzerland"
13960,"Russein, Sumvitg, Grisons, Switzerland"
13963,"Le Châtelard-Village, Finhaut, Valais, Switzerland"
13967,"Binnlamme, Valais, Switzerland"
13969,"Jennigalp, Fieschergletscher, Fieschertal, Valais, Switzerland"
13973,"Lago Tom, Quinto, Ticino, Switzerland"
13977,"Val Piora (linkes Seeufer), Quinto, Ticino, Switzerland"
13981,"Pizzo Corandoni, Quinto, Ticino, Switzerland"
13982,"Passo delle Colombe, Olivone, Ticino, Switzerland"
13989,"unterhalb Hotel Belvédère, Oberwald, Valais, Switzerland"
14002,"Breuil, Zermatt, Valais, Switzerland"
14004,"Mühlebach, Valais, Switzerland"
14005,"von Moräne des Fieschergletscher, Fieschertal, Valais, Switzerland"
14007,"Grächen, Valais, Switzerland"
14018,"Zeneggen, Valais, Switzerland"
14022,"Gagenhaupt-Ost, Zermatt, Valais, Switzerland"
14024,"Schwärze, Zermatt, Valais, Switzerland"
14033,"Gandeggweg ob Furi, Zermatt, Valais, Switzerland"
14034,"Furi, Zermatt, Valais, Switzerland"
14041,"Rimpfischhorn-Gletscher, Zermatt/Saas Almagell, Valais, Switzerland"
14069,"Adit Birchlaui des KW Oberhasli, Gadmen, Bern, Switzerland"
14090,"Muttbach, Oberwald, Valais, Switzerland"
14093,"Belistock, Uri, Switzerland (Vorder Blistock, Schwanden, Glarus, Switzerland)"
14105,"Fuchslöcher near Muttenz, Basel-Landschaft, Switzerland"
15539,"Bernfjörd, Ost-Island"
15807,"Val Fedoz, Stampa, Grisons, Switzerland"
15808,Val Fedoz
15809,"oberstes Vallun da la Trubinasca, Bondo, Grisons, Switzerland"
15812,"oberes Vallun da la Trubinasca, Bondo, Grisons, Switzerland"
15813,"mittleres Vallun da la Trubinasca, Bondo, Grisons, Switzerland"
15817,"Pizzo Trubinasca (North), Bondo, Grisons, Switzerland"
15820,"unterstes Vallun da la Trubinasca, Bondo, Grisons, Switzerland"
15821,"Pizzo Trubinasca (South), Bondo, Grisons, Switzerland"
15827,"Lavinair Crusc,Vicosoprano, Grisons, Switzerland"
15835,"oberes Val Codera, Codera, Province Sondrio, Italy"
15839,"Fuss des Pizzo di Zocca (North), Vicosoprano, Grisons, Switzerland"
15841,"Passo di Zocca, Vicosoprano, Grisons, Switzerland, Switzerland"
15842,"Piede Ago (Albigna), Vicosoprano, Grisons, Switzerland"
15843,"Fuss des Passo di Zocca, Vicosoprano, Grisons, Switzerland, Switzerland"
15844,"Crestalunga (Bondasca-Seite), Bondo, Grisons, Switzerland"
15846,"Crestalunga (Albigna-Seite), Vicosoprano, Grisons, Switzerland"
15847,"Vadrec dal Cantun (Cantonegletscher), Vicosoprano, Grisons, Switzerland"
15852,"Sot Picoi Laret, Bondo, Grisons, Switzerland"
16239,"Sontga Brida, Sedrun, Tujetsch, Grisons, Switzerland"
16240,Garrorano
16242,"Limburg, Kaiserstuhl, Germany"
16277,"Holderpfad near Sulzburg, Südschwarzwald, Germany"
16286,"Hausen, Wiesental, Schwarzwald, Germany"
16289,"Diepflingen, Basel-Landschaft, Switzerland"
16296,"grosser Quarry near Arlesheim, Basel-Landschaft, Switzerland"
16298,"Aargau, Switzerland"
16304,"Rütihard, Muttenz, Basel-Landschaft, Switzerland"
16308,"Miniera del Bottino Serravezza, Carrara, Italy"
16312,"Chlosterchöpfli (Lachenköpfli), Muttenz, Basel-Landschaft, Switzerland"
16314,"Quarry Chlosterchöpfli (Lachenköpfli), Muttenz, Basel-Landschaft, Switzerland"
16328,"Gebstelli, Pleigne, Jura, Switzerland"
16329,"Neumühle, Pleigne, Jura, Switzerland"
16330,"Lausen/Liestal, Basel-Landschaft, Switzerland"
16334,"Montaney, St-Ursanne, Jura, Switzerland"
16337,"Quarry südwestl. Ferrette, Haut Rhin, France"
16338,"Vilsberg (Wilsberg), Phalsbourg (Pfalzburg), Moselle, France"
16501,"Navarra, Spain"
16508,"Plateau Province, Nord-Nigeria"
16510,"Stolberg near Aachen, Germany"
16663,"Villadossola, Verbano-Cusio-Ossola, Italy"
16664,"Cave di Agrano, Agrano, Omegna, Verbano-Cusio-Ossola, Italy"
16665,"Cava Pavia, Crevoladossola, Verbano-Cusio-Ossola, Italy"
16667,"Camperio, Olivone, Ticino, Switzerland"
16670,"Gennamari, Sardinien, Italy"
16678,"Elias-Zeche, Joachimstal, Bohemia, Czechoslovakia"
16682,Tanzania
16683,"Dolni Bory near Velké, Czechoslovakia"
16685,"Mine Dreislar, Sauerland, Germany"
16686,"near Belohrad, Bohemia, Czechoslovakia"
16689,"Piz Bleis Marscha, Bergün/Bravuogn, Grisons, Switzerland"
16690,"Tiraun, Trun, Grisons, Switzerland"
16691,"Quarry Trübbach, Warttau, St. Gallen, Switzerland"
16692,"Tankeiban Prahn-Vulkan, Java"
16693,"Quarry Forstberg, Röschenz, Basel-Landschaft, Switzerland"
16701,"Ruz de Landeron near Biel, Bern, Switzerland"
16704,"Mine Grimentz, Grimentz, Valais, Switzerland"
16752,"Lötschbergtunnel, Goppenstein, Valais, Switzerland"
16762,"Brione (Verzasca), Ticino, Switzerland"
16941,"Val Antigorio, Piemonte, Italy"
16945,"New Texas, Lancaster County, Pennsylvania, USA"
16947,"Teplitz, Bohemia, Czechoslovakia"
16948,"Waltershausen, Saxony, Germany"
16959,"Pedrozzo, Tirol, Italy"
16557,Myanmar (Burma)
16558,Myanmar (Burma) / Thailand (Siam)
16569,"India / Myanmar (Burma), Grenze"
16574,"Ural, Sibirien, Russia"
17045,"Orphan Mine, Grand Canyon, USA"
17046,Totes Meer near Sodom
17049,"near Mount Sodom, Totes Meer"
17050,"Boylestone, Scotland, United Kingdom"
17058,"Wendajak Mountains, Hindustan"
17060,"S. Joaquim Valley, California, USA"
17065,"Leipa, Bohemia, Czechoslovakia"
17066,"Teigarhorn, Iceland"
17068,"Mursinka, Ural, USSR"
17077,"Manebach, Thuringia, Germany"
17144,"Rattlesnake, South Dakota, USA"
17151,"Harzberg, Horhausen, Siegen, Nassau, Westfalen, Germany"
17157,"Potosi, Bolivia"
17159,"Adamana, Arizona, USA"
17164,"Canadon Blanco, Argentina"
17167,"Serra do Mar, Brazil"
17187,"Tottäli/Totalp, Davos, Grisons, Switzerland"
17217,"Kurunegala, Sri Lanka"
17221,"Geissflue, Unter Erlimoos, Trimbach, Solothurn, Switzerland"
17222,"alte Gipsgrube, Bärschwil, Solothurn, Switzerland"
17224,"Erlabrunn, Bavaria, Germany"
17225,"Valle del Trodo, Rivera, Ticino, Switzerland"
17232,"Gilman, Colorado, USA"
17235,"Hurley, New Mexico, USA"
17236,"Silver King Mine, Park City, Utah, USA"
17237,"nördl. Hurley, New Mexico, USA"
17340,"Cavradi, Val Curnera, Tavetsch, Grisons, Switzerland"
17341,"Alp Ramosa, Vrin, Grisons, Switzerland"
16581,"Rio Belmonte, Menas Gerais, Brasielien"
16585,"Minas Geraes, Brazil"
16587,Thailand
16590,"Puy en Valey, Loire, France"
16591,"Kosice, Slovakia"
16600,"Bohemia, Tschechische Republik"
16601,"Venezia, Italy"
16603,"Silberbach near Hof, Fichtelgebirge, Bavaria, Germany"
16604,"Valle Mesolcina, Lostallo, Grisons, Switzerland"
16606,"Innertkirchen, Bern, Switzerland"
16608,"Flimserstein, Flims, Grisons, Switzerland"
16611,Baud
16616,"Schin, Vaz/Obervaz, Grisons, Switzerland"
16619,"Fianel, Ausserferrera, Grisons, Switzerland"
16622,"Lucendrogletscher, Airolo, Ticino, Switzerland"
16627,"Cornol, Jura, Switzerland"
16628,"Männlisloch, Arisdorf, Basel-Landschaft, Switzerland"
16632,"Böckstein, Badgastein, Austria"
16633,"Mary Katleen, Australia"
16638,"Mine Nemib, Namibia"
16639,"Baltic, Michigan, USA"
16640,"Lombach, Habkern, Bern, Switzerland"
16648,"Nufenenpass, Ulrichen, Valais, Switzerland"
16655,"Gotthardtunnel, Göschenen, Uri, Switzerland"
16658,"Quarry Falli, Plasselb, Fribourg, Switzerland"
16659,Basso Croce di Domini
16660,"Mine Kandana, Malakka"
17198,"San Martin, Peru"
17200,"Porto Longone, Island Elba, Italy"
17201,"Skropshire, England, United Kingdom"
17213,"Koblenz, Aargau, Switzerland"
17241,"Santa Rita Mine, New Mexico, USA"
17243,"Hanover nördl. Hurley, New Mexico, USA"
17247,"Silver City, Utah, USA"
17248,"Eureka Mine, Utah, USA"
17249,"Yerranderie, New South Wales, Australia"
17250,"South Iceland, New Zealand"
17251,"Fermoy, Queensland, Australia"
17254,"Lucky Hill Mine, Candelaria, Nevada, USA"
17256,"Piz Garviel, Medel (Lucmagn), Grisons, Switzerland"
17257,"Potosi Mine, Candelaria, Nevada, USA"
17258,"Candelaria, Nevada, USA"
17260,"Cathedral Peak, Yosemite Park, California, USA"
17261,"Sulfurbank Mine, Nord-California, USA"
17262,"Shasta Mine, Nord-California, USA"
15158,"El Hamraia, Sahara, Algeria"
15159,"El Djeloud, Sahara"
15160,"Ras Mallab, Wüste Sinai, Geb. Suez"
15161,"Castrovirreina, Zentral-Peru"
15163,Zimmersheim
15166,"Buffe de Perréal, Vaucluse, France"
15169,"Friedrichshall, Kochendorf, Heilbronn, Germany"
15173,"Harwood Fell, Teesdale Co., Durham, Cumberland, United Kingdom"
15193,"Hausbaden, Badenweiler, Schwarzwald, Germany"
15218,"Cerro de Mercado, Durango, Mexico"
15221,"Schwefelgruben Caltanissetta, Sizilien, Italy"
15333,"Marienschacht near Wölsendorf, Oberpfalz, Germany"
15339,"Serra di Lanchetto, Appennin near Bologna, Italy"
15348,"St. Peters Dome, Colorado, USA"
15353,"Stanley District, Gradham County, Arizona, USA"
15356,"Daun an der Lieser, Eifel, Rheinland, Germany"
15357,"Tauernik near Görlitz, Silesia, Poland"
15358,"Römerberg near Gillenfeld, Eifel, Rheinland, Germany"
15359,"Kittwein, Austria"
15364,Achmatowskaja
15366,"Tsilaisana, Madagascar"
15367,"Zigleba, Hungary"
15452,"Antsongombato, Madagascar"
15454,Radiska
15473,"Zöbling, Saxony, Germany"
15622,"Quarry Lachenköpfli near Muttenz, Baselland, Switzerland"
15623,"Aiguille d'Argentière, Orsières, Valais, Switzerland"
15624,"Oregon, USA"
15625,Jamaica
15627,"Millemottes Coray, Finistère, France"
15629,"Mine Joplin, Missouri, USA"
15632,"Manno, Ticino, Switzerland"
15638,"Erdgasleitungsstollen Blasenberg-Obergesteln, Obergesteln, Valais Switzerland"
15663,"Erdgasstollen Blasenhorn-Obergesteln, Switzerland"
15858,"Alp Sciora, Bondo, Grisons, Switzerland"
15859,"Piz Balzet (Balzeto), Vicosoprano, Grisons, Switzerland"
15862,"Vadrec del Forno (Fornogletscher), Stampa, Grisons, Switzerland"
15863,"Vadrec d l'Albigna (Albignagletscher), Vicosprano, Grisons, Switzerland"
15865,"Val Malenco, Province Sondrio, Italy"
15867,"Villa Franscia, Franscia, Province Sondrio, Italy"
15869,"Asbestgrube Val Bondasca, Bondo, Grisons, Switzerland"
15871,"Albignagletscher/Vadrec da l'Albigna, Vicosoprano, Grisons, Switzerland"
15877,"oberes Vallun da la  Trubinasca, Bondo, Grisons, Switzerland"
15879,"Laret, Bondo, Grisons, Switzerland"
15880,"Valle Borgonovo, Italy"
15885,"Kosewitz, Saxony, Germany"
15886,"Boron, Kern County, California, USA"
15887,"Schönberg near Marienbad, Czechoslovakia"
15888,"Ellweiler, Rheinland, Germany"
15890,Magnetsorf
15895,"St. Anton near Wieden, Schwarzwald, Germany"
15896,"Antsirabé, Madagascar"
15897,"Hohentwiel, Baden-Württemberg, Germany"
15899,"Mondgebirge, Afrika"
15901,"Ciappianico, Torre di Santa Maria, Province Sondrio, Italy"
15904,"Monte del Forno, Stampa, Graubünen, Switzerland"
15905,"obere Moräne Vadrec del Forno (Fornogletscher), Stampa, Grisons, Switzerland"
15906,"obere Trubinasca, Bondo, Grisons, Switzerland"
15908,"Pizzo Trubinasca, Bergell, Switzerland"
15910,"Piz Duan, Soglio, Grisons, Switzerland"
15990,"Oberkirch, Lothringen"
15995,"Nishapur, Iran"
15997,"Bancroft Mine, Ontario, Canada"
15999,"Kandern, Germany"
16003,"Galgenberge, Bohemia, Czechoslovakia"
16007,Sauerländische Küste
16015,"Fontannen, Giswil, Obwalden, Switzerland"
13369,"Ranzo, Sant'Abbondio, Ticino, Switzerland"
13654,"Lago di Sella, Airolo, Ticino, Switzerland"
13655,"Monte Sella, Airolo, Ticino, Switzerland"
13657,"Lampertsch Alp, Vals, Grisons, Switzerland"
13658,"Abfrutt (Alpfrutt), Göschenen, Uri, Switzerland"
13659,"Naxtal, Wassen, Uri, Switzerland"
13661,"Ägenetal (Aeginental), Ulrichen, Valais, Switzerland"
13692,"Schneehüenerstockli, Gurtnellen, Uri, Switzerland"
13693,"Schwarzstöckli, Göschenen, Uri, Switzerland"
13695,"Lochberg, Göscheneralp, Göschenen, Uri, Switzerland"
13701,"Älpergenlücke (Älpliger Lücke), Realp, Uri, Switzerland"
13723,"Spiez, Bern, Switzerland"
13569,"Chli Windgällen, Silenen, Uri, Switzerland"
13571,"Rossboden, Silenen, Uri, Switzerland"
13575,"Golzern(tal), Silenen, Uri, Switzerland"
13576,"Golzeralpen, Silenen, Uri, Switzerland"
13735,"Valle di Caneggio/Calneggiotal, Isone, Ticino, Switzerland"
13736,"Cave di Marmo, Val di Peccia, Peccia, Ticino, Switzerland"
13740,"Glatscher da Bianca (Biancagletscher), Medel (Lucmagn), Grisons, Switzerland"
13742,"Iragna-Lodrino, Ticino, Switzerland"
13746,"Alpe Stabiello, Bedretto, Ticino, Switzerland"
13748,"Val Torta, Bedretto, Ticino, Switzerland"
13749,"Adit Maffiola, Goldgrube Gondo, Zwischenbergen, Valais, Switzerland"
13750,"Robiei, Cama, Grisons, Switzerland"
13762,"hinteres Val Nalps, Tujetsch, Grisons, Switzerland"
13764,"Alpe Pianascio, Fusio, Ticino, Switzerland"
13771,"Pizzo Campolungo, Prato (Leventina), Ticino, Switzerland"
13779,"Cadonighino, Prato (Leventina), Ticino, Switzerland"
13780,"Fieschergletscher, Switzerland"
13793,"Chummibort-Stollen (Kummenbord-Stollen), Grengiols, Valais, Switzerland"
13794,"Georgschlattengrün, Oberpfalz, Germany"
13800,"Zuleitung zum Kraftwerk Amsteg, Amsteg, Uri, Switzerland"
13803,"Fruttstock, Silenen, Uri, Switzerland"
13812,"Piz Urlaun-Gletscher, Sumvitg, Grisons, Switzerland"
13814,"Selva, Tujetsch, Grisons, Switzerland"
13816,"Mine Goldene Sonne, Felsberg Grisons, Switzerland"
13819,"Drual, Medel (Lucmagn), Grisons, Switzerland"
13821,"Bellwald, Valais, Switzerland"
13822,"Val Milà (Val Milar), Tujetsch, Grisons, Switzerland"
13823,"Tamboalp-Weg, Medels im Rheinwald, Grisons, Switzerland"
13825,"Guppenalp, Schwanden, Glarus, Switzerland"
13826,"Douvaine, Haute-Savoie, Rhône-Alpes, France"
13834,"Pontresina, Grisons, Switzerland"
13837,"Regenstock, Uri, Switzerland"
13838,"Meiental, Switzerland"
13839,"Kridenloch, Unterschächen, Uri, Switzerland"
13842,"Crunas, Medel (Lucmagn), Grisons, Switzerland"
13844,"Vogorno, Ticino, Switzerland"
13846,"Stöckli, Urserental (links von Andermatt), Uri, Switzerland"
13852,"S-Grat Gletschhorn, Realp, Uri, Switzerland"
13857,"aus Umlaufstollen des KW Göscheneralp, Göschenen, Uri, Switzerland"
13873,"Guraletsch, Vals, Grisons, Switzerland"
13885,"Binn, Valais, Switzerland"
13894,"Alp Nursera, Andeer, Grisons, Switzerland"
14106,"Monti di Artore, Bellinzona, Ticino, Switzerland"
14107,"Medeglia, Ticino, Switzerland"
14119,"Arvigo, Grisons, Switzerland"
14120,"Feldiseralp, Felden, Grisons, Switzerland"
14121,"Rüsli, Pfäfers, St. Gallen, Switzerland"
14123,"Vättner Berg, Pfäfers, St. Gallen, Switzerland"
14126,"Galkikumme, Alpjuhorn (Alpjahorn), Mund, Valais, Switzerland"
14130,"Siblingen, Schaffhausen, Switzerland"
14135,"Bocchetta di Formazzòra, Bedretto, Ticino, Switzerland"
14138,"Las Ruinas, Trin, Grisons, Switzerland"
14140,"Albrunhorn, Binn, Valais, Switzerland"
14146,"Zell, Aichelberg"
15093,"Teneriffa, Kanarische Inseln, Spain"
14171,Namibia
14174,"Pas de Callais, France"
14175,"Dry Gill Mine, Caldbeck Falls, Cumberland, United Kingdom"
14178,Schweizer Alpen
14180,"Sta. Rita Mine, Hurley Area, New Mexico, USA"
14185,"Novello Claim, Masvingo (Fort Victoria), Zimbabwe (Rhodesien)"
14187,"Mogaung, Myanmar"
14195,Nibbio
14196,"Baikal-See, Siberien, Russia"
14197,"Stockhorn, Zermatt, Valais, Switzerland"
14203,"Zebirget, Rotes Meer"
14211,"Alpe Sponda, Ticino, CH"
14213,"Campbell Mine, Bisbee, Arizona, USA"
14214,"Michigan, USA"
14217,"Mine Keela, Queensland, Australia"
14224,"Salainische Mine, Sibirien, USSR"
14231,"Natal, West-Sumatra"
14234,"Rio Sinu, Colombia"
14235,"Tambang Padang, Natal, West-Sumatra"
14237,"Goldküste, Westafrika"
14238,Mount Ophir near Malakka
14239,"Sacramento, California, USA"
14240,"Bolaco, Chile"
14241,"Calaveras, California, USA"
14248,"Lebong, Batavia"
14249,"Redyang Libong, Batavia"
14251,Batavia
14253,"Schön Boden, Oberwald, Valais, Switzerland"
14257,"Theresiengrube, Bohemia, Czechoslovakia"
14258,"nordw. San Germano, Chisone"
14275,"Schiltfurgga, Mund, Valais, Switzerland"
14276,"Obri Matte, Ausserberg, Valais, Switzerland"
14284,"Faczebay, Romania"
14285,"Bondasca, Borgo, Grisons, Switzerland"
14286,"Val Sella, Airolo, Ticino, Switzerland"
14289,"Dielsdorf, Zürich, Switzerland"
14292,"Grasso della Froda, Airolo, Ticino, Switzerland"
14294,"Piz Giuv (Giuvstöckli), Tujetsch, Grisons, Switzerland"
14296,"Farlauital, Silenen, Uri, Switzerland"
14304,"südl. Hospental, Uri, Switzerland"
14151,"Fianarantsoa, Madagascar"
14153,Cartagena
14155,"Extertal, Rinteln, Bösingfeld, Germany"
14156,"Bouro Falha, Sahara, Algeria"
14157,"Millemottes Goray, Finistère, Bretagne, France"
14159,"Salto Jacui, Rio Grande do Sul, Brazil"
14160,"Allenda, Sahara, Algeria"
14161,"Santa Eulalia, Baja, Mexico"
14165,"Eichberg, Wutachtal, Schwarzwald, Germany"
14168,"Aouli Mibladen, Morocco"
14314,"Strassenbau südl. Hospental, Uri, Switzerland"
14318,"Thayngen, Schaffhausen, Switzerland"
14323,"Alp Ranasca, Pigniu, Grisons, Switzerland"
14324,"Salbitschijen, Göschenen, Uri, Switzerland"
14325,"Kaffeebalm, Griesserental, Silenen, Uri, Switzerland"
14326,"Feegletscher, Saas Fee, Valais, Switzerland"
14334,"Grosstal, Urseren, Uri, Switzerland"
14338,"Val Piana, Bedretto, Ticino, Switzerland"
14340,"Cavardiras, Disentis/Mustér, Grisons, Switzerland"
14343,"Madison County, Montana, USA"
14350,"Sonnenberg, Altenkirchen, Germany"
14352,Belgium
14353,"Langhari Inseln, Malakka"
14356,"Lautental, Harz, Germany"
14361,"Hornhausen, Westfalen, Germany"
14363,Süd-Java
14364,"Saarn near Müllheim, Ruhr, Germany"
14370,"Montgarri, Val d'Arren"
14371,"Nenthead near Alston, Cumberland, United Kingdom"
14385,"Horhausen, Siegen, Nassau, Westfalen, Germany"
14387,"Menduwara, Finland"
14389,"Val di Cecina, Province Pisa, Italy"
14391,"Hinga, Takanabi"
14393,"Mine de Lormenat, Servoz, Savoyen, France"
14398,Disko
14400,"Bräunsdorf, Freiberg, Saxony, Germany"
14404,Palembangsche Bovenlanden
14405,"Manbacher Bleiberg, Pfalz, Germany"
14406,"Junghohe Birke near Freiberg, Saxony, Germany"
14411,"Island Fuerteventura, Kanarische Inseln, Spain"
14412,"Bendigo, Australia"
14413,"Fahrenberg, Sinkingen"
14414,"La Choix-aux-Mines, Lorraine"
14415,"Mörsfeld, Pfalz, Germany"
14416,Nikitowka
14417,"Benito Mountains, California, USA"
14421,"Anakusa, Japan"
14422,"Anaconda Mine, Cripple Creek, Colorado, USA"
14423,"Chassagne, Brionde, France"
14425,"Ponbo, Vallée de l'Arbourt, Pyrénées, France"
14427,"Ste Marie à Pormenaz, Savoie"
14429,"Pricor, Bohemia, Czechoslovakia"
14431,"Massiac, Auvergne, France"
14432,"Cripple Creek, Colorado, USA"
14441,"Pyrénées, France"
14444,"Tristak Mining District, Missouri, USA"
14446,"Val Antrona, Italy"
14450,"Biezighofen, Wittnau, Breisgau, Germany"
14451,"Bundi Kemaman, Malakka"
14452,"Madiun, Mittel-Java"
14455,Czechoslovakia
14461,Fundort Sehr schön
14463,"Bösingfeld im Lippischen, Germany"
14474,"Lobsann, Bas Rhin, France"
14475,"Ferrette, Haut Rhin, France"
14476,"Villers sur mer, Bretagne, France"
14477,"Litmice near Karlovy Vary (Karlsbad), Bohemia, Czechoslovakia"
14479,"Bad Grund, Harz, Germany"
14480,"Aedermannsdorf, Solothurn, Switzerland"
14481,"Almerode, Harz, Germany"
14490,"Lake County, Colorado, USA"
14495,"Kélémish, Brussa, Kleinasien, Turkey"
14496,"Sennwald, Bohemia, Czechoslovakia"
18222,"Lavertezzo, Ticino, Switzerland"
14608,"St. Prix near Autun, Morvan, France"
14609,"Eubea Mandudi, Greece"
14611,"Knappenberg, Hüttenberg, Kärnten, Austria"
14613,"Halbinsel Sinai, Israel"
14614,"Schmidmatte, Ried-Brig, Valais, Switzerland"
14618,"Gonessa, Sardinien, Italy"
14625,"Radautal, Harzburg near Ilefeld, Harz, Germany"
14626,"Punto di Sansone, Island Elba, Italy"
14627,"British Columbia, Canada"
14629,"Island Mö, Södermannland, Sweden"
14635,"Monte Tabor, Ischia, Italy"
14636,"Paterson, New Jersey, USA"
14729,"Kynance Cove, United Kingdom"
14730,"Kynance Cove, Cornwall, United Kingdom"
14732,"Gorpi-Runse (W Gibelbach), Fiesch, Valais, Switzerland"
14638,"Gaaseland, Greenland"
14647,"Baia Marc, Transylvania, Romania"
14651,"Camoghè, Quinto, Ticino, Switzerland"
14653,"Reneville, Congo Brazzaville"
14660,"Felbertal, Salzburg, Austria"
14661,"Mooseck, Salzburg, Austria"
14662,"Schullerbau Hungau, Salzburg, Austria"
14663,"Rigans, Altenau am Harz, Germany"
14664,"Mitterberger Erzbergwerk, Salzburg, Austria"
14665,"Schullerbau, Lungau, Salzburg, Austria"
14666,Wolfsberg
14670,"Ngamindere, Kamerun"
14671,"San Benito, California, USA"
15715,"Spissen, Lärchultini, Binn, Valais, Switzerland"
15720,"Watungkiata, Java"
15724,"Coscuez, Colombia"
15728,"Island Capri, Italy"
15735,"Ylämaa, Finland"
15918,Anatolien
15927,"Piz Duan (Gipfel North), Soglio, Grisons, Switzerland"
15928,"Mottone, Biasca, Ticino, Switzerland"
15930,"Camprovasco-Acquarossa, Val Blenio, Ticino, Switzerland"
15931,"St. Martin, Grisons, Switzerland"
15938,"La Communance, Develier, Jura, Switzerland"
15942,"Ziegelhütte, Moutier, Bern, Switzerland"
15943,"Blue John Mine, Derbyshire, United Kingdom"
15944,"Courroux, Jura, Switzerland"
15945,"Shaft La Blancherie, Delémont, Jura, Switzerland"
15949,"Develier, Jura, Switzerland"
15955,"Saalfeld, Laufen, Basel-Landschaft, Switzerland"
15956,"Stürmenhöfe, Switzerland"
15957,"Bachtobel Spitzenbühl, Switzerland"
15959,"Johanniterbrücke, Basel, Basel-Stadt, Switzerland"
15960,"Hoher Atlas, Nordafrika"
15965,"Lercara dei Friddi, Palermo, Sizilien, Italy"
15975,"Neu-Seeland, Germany"
16017,"Mine Canciano, Poschiavo, Grisons, Switzerland"
16022,"oberes Val Giuv, Tujetsch, Grisons, Switzerland"
16023,"Baruta, südl. Caracas, Venezuela"
16024,"Zeche Osterfeld near Oberhausen, Germany"
16025,"Mine Itchenc, Morocco"
16026,"Mine Friedrich, Herdorf, Siegerland, Westfalen, Germany"
16032,"Baryt-Mine near Alforjas, Spain"
16035,"Vogesen, France"
16039,"Landarenca, Arvigo, Grisons, Switzerland"
16041,"Alpe della Bolla, Peccia, Ticino, Switzerland"
16051,"Pleystein, Ost-Pfalz, Germany"
16053,Pleystein
16065,"Hillgroove, Australia"
16067,"Tirschenreuth, Oberpfalz, Germany"
16780,"Wetterhorn, Grindelwald, Bern, Switzerland"
16781,"Alp Chamoson, Chamoson, Valais, Switzerland"
16819,"Ühlingen, Waldshut, Baden-Württemberg, Germany"
16852,Ostseeküste
16854,"Samland, Ostseeküste"
16866,"Kapnas R. near Lunko Layang, Borneo"
16873,"Stulln near Wölsendorf, Oberpfalz, Germany"
16881,"Hagendorf near Pleistein, Oberpfalz, Germany"
16886,"Johannesschacht near Wölsendorf, Oberpfalz, Germany"
16889,"Val Ferret, Valais, Switzerland"
16890,"Augst, Basel-Landschaft, Switzerland"
16891,"Kaiseraugst, Aargau, Switzerland"
16894,"Hüfigletscher, Maderanertal, Silenen, Uri, Switzerland"
16895,"Mine Ursera, Ausserferrera, Grisons, Switzerland"
