Mineral_Summary
Glaukosphaerit
Quarz
Hämatit
Galenit
Amethyst
Diamant
Fluorit
Graphit
Schwefel
Calcit
Selenschwefel
Antimon
Arsen
Allemontit
Rotgültigerz
unbestimmt
Wismut
Erythrin
Skutterudit
Tellur
Nagyagit
Rhodochrosit
Sylvanit
Tetradymit
Kupfer
Tenorit
Malachit
Molybdänit
Cuprit
Blei
Quecksilber
Silber
undefiniert
Akanthit
Markasit
Baryt
Kobaltit
Sphalerit
Ankerit
Pyrargyrit
Dolomit
Pyrit
Karbonat
Bromargyrit
Moschellandsbergit
Tetraedrit
Cinnabarit
Chalkopyrit
Gold
Elektrum
Limonit
undef Eisenhydroxid
Brannerit
Magnetit
Palladinit
Mertieit Isomertieit
Almandin
Ilmenit
Zirkon
Epidot
Platin
Osmiridium
Clausthalit
Stibiopalladinit
Heulandit
Wurtzit
Arsenopyrit
Löllingit
Pyrrhotin
Ullmannit
Nickel-Skutterudit
Chloanthit
Hauerit
Gersdorffit
Glaukodot
Siderit
Laumontit
Wulfenit
Cerussit
Hydrocerussit
Kasolit
Vanadinit
Phlogopit
Asbest
Fahlerz
Sulfosalz
Chalkomenit
Umangit
Altait
Krennerit
Chalkosin
Bournonit
Stromeyerit
Realgar
Dravit
Kassiterit
Naumannit
Hessit
Stephanit
Dyskrasit
Huntilith
Jordanit
Sartorit
Citrin
Greenockit
Alabandin
Millerit
Nickelin
Rammelsbergit
Stannit
Linneit
Sternbergit
Argentopyrit
Proustit
Covellin
Chlorit
Ni-Co-Pyrit
Bornit
Azurit
Matildit
Tiemannit
Wolframit
Hyalophan
Auripigment
Bismuthinit
Lorandit
Stibnit
Boulangerit
Jamesonit
Miargyrit
Andorit
Zinkenit
Berthierit
Plagionit
Dufrénoysit
Tennantit
Binnit
Freieslebenit
Diaphorit
Chalkostibit
Kylindrit
Xanthokon
Kobellit
Wittichenit
Aikinit
Meneghinit
Freibergit
Smithsonit
Geokronit
Polybasit
Enargit
Argyrodit
Pyrostilpnit
Kermesit
Zinkit
Franklinit
Massicotit
Minium
Gips
Korund
Rubin
Diaspor
Eisenrose
Orthoklas
Adular
Rutil
Anatas
Magnesit
Mesitin
Atacamit
Goethit
ohne Namen
s Objektbemerkung
Braunit
Valentinit
Mineral nicht bestimmt
s Objektbem
Senarmontit
Bismutit
Bismit
Rauchquarz
Muskovit
Fenster- u Zepter-
Gwindel
Titanit
Anhydrit
Stilbit
Aktinolith
Amiant
Albit
Biotit
Rauchquarz-Gwindel
Rosenquarz
Eisenkiesel
Chalcedon Chert
Blauquarz
Prasem
feinkristallin
Aventurin
Opal
Achat
Silikat-Glas
Lechatelierit
Aragonit
Tridymit
Hyalit
Edelopal
Feueropal
Topas
Zinnwaldit
Thorit
Brookit
Pyrolusit
Mangan-Oxid Hydroxid
Psilomelan
ungen def Mn-Hydr
Chrysoberyll
Alexandrit
Spinell
Pleonast
Magnesioferrit
Pyrochlor
Tephroit
Willemit
Troostit
Chromit
Jakobsit
Uraninit
Pechblende
Hausmannit
Gahnit
Brucit
Sassolin
Manganit
Lepidokrokit
Chrysokoll
Chamosit
Pistomesit
Cafarsit
Uranopilit
Stibiconit
Asbolan
Fuchsit
Halit
Sylvin
Carnallit
Salmiak
Chlorargyrit
Kalomel
Cotunnit
Apatit
Epistilbit
Kryolith
Matlockit
Prosopit
Thomsenolith
Harmotom
Illit
Anthrakonit
Breunerit
Sideroplesit
Mimetesit
Kampylit
Strontioaragonit
Witherit
Alstonit
Strontianit
Neotyp
Barytocalcit
Gaylussit
Hydromagnesit
Niter
Nitronatrit
Boracit
Ludwigit
Borax
Ulexit
Sussexit
Hydrozinkit
Zaratit
Lanthanit
Gadolinit
Glimmer
allgemein
Phosgenit
Leadhillit
Lanarkit
Anglesit
Colemanit
Coelestin
Barytocoelestin
Mirabilit
Kieserit
Epsomit
Goslarit
Retgersit
Melanterit
Halotrichit
Chalkanthit
Alunogen
Bieberit
Moorhouseit
Aluminit
Copiapit
Brochantit
Blödit
Polyhalit
Alaun
Kalialaun
Alunit
Tschermigit
Dietrichit
Jarosit
Devillin
Linarit
Caledonit
Cyanotrichit
Kainit
Krokoit
Pyromorphit
Stolzit
Scheelit
Hübnerit
Xenotim-(Y)
Monazit-(Ce)
Triphylin
Descloizit
Pucherit
Roselith
Pharmakolith
Vivianit
Annabergit
Skorodit
Dufrenit
Kakoxen
Pharmakosiderit
Türkis
Wavellit
Variscit
Adamin
Libethenit
Olivenit
Volborthit
Pseudomalachit
Euchroit
Tirolit
Klinoklas
Trögerit
Struvit
Lazulith
Lavendulan
Childrenit
Lirokonit
Chalkophyllit
Autunit
Uranocircit
Torbernit
Zeunerit
Walpurgin
Talk
Phosphorit
Polysphärit
Wagnerit
Triplit
Amblygonit
Heterosit
Herderit
Arseniopleit
Caryinit
Messelit
Beudantit
Andalusit
Kornerupin
Kyanit
Staurolith
Sillimanit
Chondrodit
Turmalin
Elbait
Lepidolith
Sapphirin
Datolith
Euklas
Zoisit
Thulit
Piemontit
Allanit-(Ce)
Vesuvian Vesuvianit
Pyroxen
Diopsid
Wollastonit
Cu-Vesuvian
Grossular
Forsterit
Fayalit
Humit
Ilvait
Cerit-(Ce)
Hemimorphit
Bertrandit
Phenakit
Dioptas
Hessonit
Andradit
Melanit
Klinochlor
Pennin
Demantoid
Chrysotil
Pyrop
Spessartin
Uwarowit
Granat
Axinit
Danburit
Helvin
Eulytin
Meionit
Skapolith
Couzeranit
Melilith
Gehlenit
Leucit
Nephelin
Cancrinit
Hauyn
Sodalith
Nosean
Lasurit
Anthophyllit
Manganophyllit
Margarit
Clintonit
Chloritoid
Pyrosmalit
Kämmererit
Skolezit
Delessit
Pyrophyllit
Sepiolith
Stevensit
Spadait
Serpentin
Antigorit
Seladonit
Stilpnomelan
Enstatit
Bronzit
Hypersthen
Augit
Klinopyroxen
Diallag
Hedenbergit
Omphacit
Jeffersonit
Aegirin
Violan
Spodumen
Petalit
Milarit
Rhodonit
Fowlerit
Babingtonit
Tschermakit
Hornblende
Pargasit
Tremolit
Vonsenit
Nephrit
Cr-Omphacit
Jadeit
Arfvedsonit
Tigerauge
Riebeckit
Krokydolith
Glaukophan
Cordierit
Pinit
Mineralgemenge
Beryll
Smaragd
Aquamarin
Morganit
Heliodor
Anorthit
Leukophan
Pektolith
Apophyllit
Natrolith
Analcim
Pollucit
Faujasit
Phillipsit
Chabasit
Gmelinit
Levyn
Herschelit
Stellerit
Thomsonit
Gismondin
Prehnit
Sanidin
Mikroklin
Amazonit
Periklin
Oligoklas
Labradorit
Saussurit
Gemenge
Nakrit
Halloysit
Kaolinit
Zunyit
Dillnit
Allophan
Sericit
Carpholit
Nontronit
Cristobalit
Hisingerit
Pimelit
Uranophan
Bismutoferrit
Schorlomit
Mosandrit
Eudialyt
Wöhlerit
Ardennit
Perovskit
Euxenit-(Y)
Aeschynit
Polymignit
Tantalit
Columbit
Yttrotantalit-(Y)
Fergusonit-(Y)
Fergusonit-(Ce)
Samarskit-(Y)
Romeit
Bindheimit
Montmorillonit
Garnierit
Gummit
Dopplerit
Scheererit
diskred
Asphalt
Mellit
Meliphanit
Hatchettit
Ozokerit
Hartit
Trinkerit
Retinit
Walchowit
Grahamit
Elaterit
Delvauxit
Erdoel
Bernstein
Gedanit
Kauriharz
Mixit
Schreibersit
Taraspit
Homilit
Calaverit
Botryogen
Bixbyit
Mangan-Calcit
Ferrihydrit
Natron
Trona
Feldspat
Bearthit
Klinozoisit
Bitumen
Theisit
Pickeringit
Hutchinsonit
Lengenbachit
Neotocit
Carnotit
Liveingit
Baumhauerit
Thorianit
Sagenit
Bavenit
Kunzit
Plaffeiit
Hiddenit
Schwartzembergit
Livingstonit
Cervantit
Metacinnabarit
Eisen
Tinzenit
Parsettensit
Sursassit
Whewellit
Steenstrupin-(Ce)
Serpierit
Cleveit
Sperrylith
Aurichalcit
Schwazit
Troilit
Boleit
Pearceit
Owyheeit
Mottramit
Hellglimmer
Stichtit
Picromerit
Langbeinit
Crichtonit
Schörl
Rhipidolith
Willemseit
Kaliumhexacyanidoferrat(II)
synth
Arsenolith
Nickelhexahydrit
Kröhnkit
Palygorskit
Fettelit
Manganosit
Moissanit Siliciumcarbid
Titanium
Zinn
Cadmium
Kobaltnickelkies
Zink
Aguilarit
Breithauptit
Neptunit
Elpidit
Epididymit
Strengit
Betafit
Cosalit
Glaukonit
Villiaumit
Benitoit
Katapleit
Astrophyllit
Fairfieldit
Churchit-(Y)
Ludlamit
Mesolith
Mizzonit
Marialit
Dipyr
Zeolith
Kerolit
Ferropargasit
Brasilianit
Rockbridgeit
Zink-Rockbridgeit
Frondelit
Hagendorfit
Phosphoferrit
Huréaulith
Paragonit
Hydroxylapatit
Sheridanit
Pumpellyit
Lizardit
Pitticit
Evansit
Nahcolit
Kernit
Nesquehonit
Artinit
Glauberit
Esperit
Norbergit
Kurnakovit
Inderit
Eisenkarbonat
Ilmenorutil
Lithiophorit
Kryptomelan
Pentlandit
Coquimbit
Thortveitit
Plattnerit
Metahewettit
Ferberit
Hambergit
Coffinit
Hanksit
Austinit
Barthit
Gorceixit
Goyazit
Hatchit Wallisit
Mischkristall
Rathit
Titanomagnetit
Dysanalyt
Heteromorphit
Strunzit
Uranpyrochlor
Hydronephelit
Urano-Thorit
Metastibnit
Römerit
Ferrogoslarit
Cuprogoslarit
Iodargyrit
Karbonat-Fluorapatit
Zwieselit
Lithiophilit
Probertit
Petzit
Melanotekit
Kolm
Eskebornit
Dumortierit
Silicium
Silizium
Nickel
Natromontebrasit
Bikitait
Burkeit
Vermiculit
Jefferisit
Falkmanit
Laueit
Reddingit
Marmatit
Safflorit
Waluewit
Cummingtonit
Valleriit
Taeniolith
Symplesit
Seeligerit
Tavorit
Barbosalith
Mitridatit
Phosphosiderit
Beraunit
Scorzalith
Leukosphenit
Laubmannit
Szaibelyit
Lawsonit
Lepidomelan
Niocalit
Ellestadit
Fluorellestadit
Anthraxolit
Beaverit
Gibbsit
Domeykit
Bismutotantalit
Germanit
Montebrasit
Aluminium
Goldichit
Tanteuxenit-(Y)
Stillwellit-(Ce)
Davidit
Newberyit
Hatchit
Chalkosiderit
Rosasit
Murdochit
Tellurit
Schoepit
Becquerelit
Zippeit
Andersonit
Novacekit
Shattuckit
Ajoit
Awaruit
Hibonit
Metatorbernit
Diaboleit
Richterit
Magnesium
Bayldonit
Sabugalit
sekundäres Uranmineral
Oellacherit
Chromalaun
Andesin
Atopit
Rhodolith
Perlen
Chalkophanit
Carminit
Yttrocerit
Mansfieldit
Fornacit
Duftit
Hopeit
Tarbuttit
Gonnardit
Cuprosklodowskit
Molysit
Sphaerokobaltit
Bazzit
Siegenit
Klinohumit
Titan-Klinohumit
Ferrimolybdit
Kainosit-(Y)
Leonit
Renierit
Soddyit
Plancheit
Carrollit
Cornetit
Seligmannit
Rosaquarz
Synchisit-(Ce)
Eosphorit
Childro-Eosphorit
Stewartit
Wolfeit
Chromdiopsid
Dewindtit
Parsonsit
Raspit
Rauenthalit
Picropharmakolith
Chervetit
Francevillit
Brackebuschit
Spangolith
Connellit
Marokit
Rhönit
Titanaugit
Dundasit
Roquesit
Tirodit
Phosphophyllit
Groutit
Marrit
Sinnerit
Trechmannit
Rhodizit
Magnesio-Arfvedsonit
Grandidierit
Magnesioriebeckit
Coesit
Stishovit
Langit
Colusit
Hexahydrit
Parasymplesit
Thaumasit
Mikrolith
Nobleit
Gowerit
Cookeit
Berzelianit
Johannsenit
Asbecasit
Tungstenit
Alumogel
Imhofit
Smithit
Cohenit
Väyrynenit
Eskolait
Thenardit
Luzonit
Buergerit
Hydrotalkit
Geikielit
Eckermannit
Holmquistit
Gudmundit
Nolanit
Tyuyamunit
Narsarsukit
Bastnäsit-(Ce)
Coalingit
Dickit
Macdonaldit
Krauskopfit
Sanbornit
Verplanckit
Gillespit
Taramellit
Fresnoit
Muirit
Walstromit
Traskit
Brugnatellit
Vladimirit
Jarlit
Wernerit
Tunellit
Pirssonit
Tychit
Galeit
1M
Alkalifeldspat
Karbonat-Apatit
Powellit
Aphthitalit
Afwillit
Ettringit
Papagoit
Howlith
Britholit-(Ce)
Bayleyit
Londonit
Alvit
Liddicoatit
Fluor-Richterit
Chambersit
Nissonit
Morenosit
2M1
Revoredoit
Pachnolith
Maghemit
Chiolith
Cattierit
Kobalt-Calcit
Huntit
Patronit
Quisqueit
Grandit
Molybdänit-3R
Montroydit
Cymrit
Svanbergit
Boussingaultit
Zussmanit
Howieit
Deerit
Rosenhahnit
Ferrierit
Pigeonit
Schefferit
Alleghanyit
Galaxit
Eukryptit
Tincalconit
Betechtinit
Wiserit
Pyrochroit
Vandenbrandeit
Cannizzarit
Sekaninait
Diadochit
2M2
2M
Crookesit
Wellsit
Endlichit
Genthelvit
Ralstonit
Northupit
Bertossait
Berlinit
Lazulith Scorzalith
Lipscombit
Purpurit
Sicklerit
Ferrisicklerit
Alluaudit
Augelith
Anthoinit
Cavansit
Vesignieit
Bukovskyit
Fichtelit
Aeschynit-(Y)
Brushit
Rinneit
Paracelsian
Tansanit
Plagioklas
Montbrayit
Allargentum
Hawleyit
Pararammelsbergit
Hastingsit
Dadsonit
Thucholith
Aegirin-Augit
Manganosphärit
Sulphohalit
Schröckingerit
Pseudobrookit
Atelestit
Hemihedrit
Phönikochroit
Wickenburgit
Erionit
Danalith
Pyralspit
Kaliophilit
Hinsdalit
Zeophyllit
Bergenit
Semseyit
Trolleit
Tungstit
Lorenzenit
Tritomit-(Ce)
Danait
Chlorapatit
Tombarthit-(Y)
Thalenit-(Y)
Billietit
Pyroxmangit
Fringelit
Okenit
Mcallisterit
Bakerit
Fluoborit
Tilleyit
Veatchit
Callaghanit
Arthurit
Shortit
Legrandit
Veenit
Metasideronatrit
Sklodowskit
Woodhouseit
Villamaninit
Gedrit
Grunerit
Meyerhofferit
Cumengit
Grimselit
Hydroboracit
Braitschit-(Ce)
Metazeunerit
Parisit-(Ce)
Scholzit
