catalog_number,is_part_of,material_category,cataloged_name,authoritative_name,country_name,first_order_division
41658,,,Phlogopit,Phlogopit,Südafrika,Limpopo
,41658,Mineral,,Phlogopit,,
,41658,Ore,,PGE-Erz - kontinental mafisch-magmatisch,,
,41658,Rock,,Dunit (plutonisch),,
35305,,Rock,Kalkstein - bituminös,,Schweiz,Neuenburg
,35305,Mineral,,Calcit,,
,35305,Mineral,,Bitumen,,
,35305,Rock,,Kalkstein - bituminös,,
41177,,,Galenit,Galenit,Vereinigte Staaten von Amerika (USA),Missouri
,41177,Mineral,,Galenit,,
,41177,Rock,,Granit,,
,41177,Ore,,Pb-Sulfid-Erz - MVT,,
40825,,,Hämatit,Hämatit,Spanien,"Asturias, Principado de"
,40825,Mineral,,Hämatit,,
,40825,Ore,,Fe-Oolith hämatitisch,,
42284,,,Magnetit,Magnetit,Schweden,Norrbottens län
,42284,Mineral,,Magnetit,,
,42284,Ore,,Fe-Erz magnetitisch - Kiruna-Typ,,
42297,,Rock,Metahyloklastit,,Schweiz,Graubünden
,42297,Mineral,,Chlorit,,
,42297,Mineral,,Pumpellyit,,
,42297,Rock,,Metahyloklastit,,
,42297,Mineral,,Albit,,
31012,,,Pyrop,Pyrop,Schweiz,Tessin
,31012,Mineral,,Pyrop,,
,31012,Rock,,Peridotit s.l. (Mantelgestein),,
32311,,Ore,Mo-Sulfid-Erz - Gang-Typ,,Schweiz,Bern
,32311,Ore,,Mo-Sulfid-Erz - Gang-Typ,,
,32311,Mineral,,Molybdänit,,
38719,,Rock,Granit,,Schweiz,Bern
,38719,Mineral,,Chalcedon/Chert,,
,38719,Mineral,,Quarz,,
,38719,Rock,,Granit,,
42068,,,Akanthit,Akanthit,Mexiko,México (Mexico)
,42068,Mineral,,Stephanit,,
,42068,Mineral,,Pyrit,,
,42068,Mineral,,Akanthit,,
,42068,Mineral,,Chalkopyrit,,
,42068,Ore,,"Au-Erz, polymetallisch - Gang-Typ",,
41818,,,Magnetit,Magnetit,Rumänien,
,41818,Mineral,,Granat,,
,41818,Rock,,Skarn,,
,41818,Mineral,,Calcit,,
,41818,Ore,,Fe-Erz magnetitisch - Skarn-Typ,,
,41818,Mineral,,Magnetit,,
41002,,,Galenit,Galenit,Irland,Leinster / Laighin
,41002,Mineral,,Pyrit,,
,41002,Mineral,,Galenit,,
,41002,Mineral,,Sphalerit,,
,41002,Ore,,Pb-Zn-Sulfid-Erz - SEDEX,,
42551,,,Quarz,Quarz,Deutschland,Baden-Württemberg
,42551,Mineral,,Calcit,,
,42551,Mineral,,Sphalerit,,
,42551,Ore,,Pb-Zn-Sulfid-Erz - Gang-Typ,,
,42551,Mineral,,Quarz,,
,42551,Mineral,,Galenit,,
,42551,Mineral,,Baryt,,
,42551,Rock,,tektonische Brekzie,,
,42551,Mineral,,Dolomit,,
33334,,,Graftonit,Graftonit,Schweiz,Tessin
,33334,Mineral,,Vivianit,,
,33334,Mineral,,Apatit,,
,33334,Mineral,,Graftonit,,
,33334,Mineral,,Heterosit,,
,33334,Rock,,Granitpegmatit,,
40972,,,Pyrit,Pyrit,Finnland,
,40972,Rock,,Quarzit,,
,40972,Mineral,,Pyrit,,
37911,,Rock,Tephrit,,Italien,Campania
,37911,Rock,,Tephrit,,
,37911,Mineral,,Augit,,
37995,,Ore,Schwermineralkonzentrat,,Australien,Victoria
,37995,Ore,,Schwermineralkonzentrat,,
,37995,Mineral,,Anatas,,
,37995,Mineral,,Rutil,,
37028,,,Chrysotil,Chrysotil,Grossbritannien / Vereinigtes Königreich,Scotland
,37028,Mineral,,Chrysotil,,
,37028,Rock,,Dolomit-Marmor,,
41517,,,Galenit,Galenit,Myanmar,
,41517,Mineral,,Galenit,,
,41517,Ore,,Pb-Sulfid-Erz - MVT,,
41266,,,Ferberit,Ferberit,Peru,Huancavelica / Wankawelika / Wankawillka
,41266,Ore,,Wolframit-Erz - Gang-Typ,,
,41266,Mineral,,Ferberit,,
40748,,,Kupfer,Kupfer,Vereinigte Staaten von Amerika (USA),Michigan
,40748,Ore,,Cu-Metall-Erz - Michigan-Typ,,
,40748,Mineral,,Kupfer,,
,40748,Rock,,Konglomerat,,
33596,,Ore,"Mn-Erz, silikatisch - metamorph",,Schweiz,Graubünden
,33596,Ore,,"Mn-Erz, silikatisch - metamorph",,
,33596,Mineral,,Mangan-Calcit,,
,33596,Mineral,,Tinzenit,,
,33596,Mineral,,Parsettensit,,
,33596,Mineral,,Calcit,,
34470,,,Quarz,Quarz,Schweiz,Uri
,34470,Mineral,,Chlorit,,
,34470,Mineral,,Biotit,,
,34470,Mineral,,Apatit,,
,34470,Rock,,Granit,,
,34470,Mineral,,Quarz,,
36706,,,Ilmenit,Ilmenit,Schweiz,Uri
,36706,Mineral,,Quarz,,
,36706,Mineral,,Biotit,,
,36706,Mineral,,Granat,,
,36706,Rock,,Gneis s.l.,,
,36706,Mineral,,Ilmenit,,
40398,,,Apatit,Apatit,Schweiz,Thurgau
,40398,Mineral,,Magnetit,,
,40398,Rock,,Tuffit,,
,40398,Mineral,,Apatit,,
30283,,Ore,Fe-Erz magnetitisch - Skarn-Typ,,Schweiz,Wallis
,30283,Mineral,,Magnetit,,
,30283,Ore,,Fe-Erz magnetitisch - Skarn-Typ,,
,30283,Mineral,,Pyrit,,
41182,,,Apatit,Apatit,Marokko,Béni Mellal-Khénifra (Beni Mellal-Khenifra)
,41182,Mineral,,Phosphorit,,
,41182,Rock,,Kalkstein,,
,41182,Ore,,Phosphorit marin,,
,41182,Mineral,,Apatit,,
6748,,,Bornit,Bornit,Schweiz,Glarus
,6748,Mineral,,Bornit,,
,6748,Ore,,Cu-Sulfid-Erz - Redbed-Typ,,
41325,,,Gratonit,Gratonit,Peru,
,41325,Ore,,Pb-Sulfarseniderz - Gang-Typ,,
,41325,Mineral,,Gratonit,,
,41325,Mineral,,Galenit,,
41490,,,Chalkopyrit,Chalkopyrit,Japan,Gifu / Gihu
,41490,Ore,,Cu-Sulfid-Erz - Skarn-Typ,,
,41490,Mineral,,Pyrrhotin,,
,41490,Mineral,,Chalkopyrit,,
33725,,,Galenit,Galenit,Schweiz,Graubünden
,33725,Rock,,Dolomit,,
,33725,Mineral,,Quarz,,
,33725,Mineral,,Azurit,,
,33725,Mineral,,Sphalerit,,
,33725,Mineral,,Pyrit,,
,33725,Mineral,,Dolomit,,
,33725,Mineral,,Malachit,,
,33725,Mineral,,Galenit,,
36702,,,Chlorit,Chlorit,Schweiz,Uri
,36702,Mineral,,Chlorit,,
,36702,Mineral,,Pyrrhotin,,
,36702,Rock,,Gneis s.l.,,
32681,,Rock,Chlorit-Schiefer,,Schweiz,Wallis
,32681,Mineral,,Chlorit,,
,32681,Rock,,Chlorit-Schiefer,,
50017,,Rock,Schockmetamorpher Kalkstein,,Deutschland,Bayern
,50017,Rock,,Schockmetamorpher Kalkstein,,
,50017,Mineral,,Goethit,,
34168,,Rock,noch nicht angegeben,,Schweiz,Uri
,34168,Mineral,,(s. Objektbem.),,
,34168,Mineral,,Mineral nicht bestimmt,,
,34168,Rock,,noch nicht angegeben,,
31402,,Rock,Granodiorit,,Schweiz,Bern
,31402,Rock,,Granodiorit,,
,31402,Mineral,,Schröckingerit,,
38600,,,Montmorillonit,Montmorillonit,Vereinigte Staaten von Amerika (USA),Florida
,38600,Rock,,Bentonit,,
,38600,Mineral,,Montmorillonit,,
42279,,,Feldspat,Feldspat,Schweden,Norrbottens län
,42279,Mineral,,Feldspat,,
,42279,Rock,,Rhyolith,,
,42279,Mineral,,Hornblende,,
,42279,Mineral,,Titanit,,
32629,,Ore,U-Erz - Gang-Typ allgemein,,Schweiz,Wallis
,32629,Mineral,,Uranophan,,
,32629,Ore,,U-Erz - Gang-Typ allgemein,,
42561,,,Sphalerit,Sphalerit,Deutschland,Baden-Württemberg
,42561,Ore,,Zn-Sulfid-Erz - Gang-Typ,,
,42561,Mineral,,Sphalerit,,
32003,,Ore,"Fe-Erz, pisolithisch",,Schweiz,Jura
,32003,Ore,,"Fe-Erz, pisolithisch",,
,32003,Mineral,,undef. Eisenhydroxid,,
,32003,Mineral,,Limonit,,
41550,,,Sphalerit,Sphalerit,Polen,Małopolskie
,41550,Mineral,,Galenit,,
,41550,Ore,,Pb-Zn-Sulfid-Erz - MVT,,
,41550,Mineral,,Sphalerit,,
33814,,,Goethit,Goethit,Australien,Tasmania
,33814,Ore,,Fe-Erz limonitisch - Eiserner Hut,,
,33814,Mineral,,Pyromorphit,,
,33814,Mineral,,Goethit,,
39638,,,Cu-Sulfid-Erz - Kupferschiefer-Typ,,Polen,Dolnośląskie (Dolnoslaskie)
,39638,Mineral,,Chalkopyrit,,
,39638,Mineral,,Bornit,,
,39638,Ore,,Cu-Sulfid-Erz - Kupferschiefer-Typ,,
,39638,Rock,,Schieferton,,
35718,,Rock,Anhydrit,,Schweiz,Bern
,35718,Rock,,Anhydrit,,
,35718,Mineral,,Anhydrit,,
40792,,,Kupfer,Kupfer,Vereinigte Staaten von Amerika (USA),Michigan
,40792,Mineral,,Epidot,,
,40792,Mineral,,Kupfer,,
,40792,Ore,,Cu-Metall-Erz - Michigan-Typ,,
41436,,,Chalkopyrit,Chalkopyrit,Peru,Moquegua / Moqwegwa / Muqiwa
,41436,Mineral,,Chalkopyrit,,
,41436,Ore,,Cu-Sulfid-Erz - Porphyr-Typ,,
39612,,,Calcit,Calcit,Schweiz,Graubünden
,39612,Mineral,,Calcit,,
,39612,Rock,,Kalktuff,,
41314,,,Revoredoit,Revoredoit,Peru,
,41314,Mineral,,Revoredoit,,
,41314,Ore,,Pb-Sulfarseniderz - Gang-Typ,,
41161,,,Phlogopit,Phlogopit,Kanada,Quebec / Québec
,41161,Rock,,Alnöit,,
,41161,Mineral,,Phlogopit,,
26965,,Ore,"Au-Erz, pyritisch - Gang-Typ",,Vereinigte Staaten von Amerika (USA),Colorado
,26965,Ore,,"Au-Erz, pyritisch - Gang-Typ",,
,26965,Mineral,,Pyrit,,
,26965,Mineral,,Sphalerit,,
,26965,Mineral,,Galenit,,
30455,,Ore,Ni-Cu-Sulfid-Erz - kontinental mafisch-magmatisch,,Kanada,Ontario
,30455,Mineral,,Pentlandit,,
,30455,Ore,,Ni-Cu-Sulfid-Erz - kontinental mafisch-magmatisch,,
,30455,Mineral,,Pyrrhotin,,
,30455,Mineral,,Chalkopyrit,,
40488,,,Albit,Albit,Vereinigte Staaten von Amerika (USA),Michigan
,40488,Mineral,,Albit,,
,40488,Mineral,,Epidot,,
,40488,Rock,,Basalt s.l.,,
42254,,,Petalit,Petalit,Schweden,Stockholms län
,42254,Rock,,Granitpegmatit,,
,42254,Mineral,,Petalit,,
,42254,Ore,,Lithium-Pegmatit,,
40199,,,Quarz,Quarz,Island,Austurland
,40199,Rock,,Basalt s.l.,,
,40199,Mineral,,Chalcedon/Chert Goethit,,
,40199,Mineral,,Quarz,,
42113,,,Akanthit,Akanthit,Mexiko,Hidalgo
,42113,Mineral,,Akanthit,,
,42113,Mineral,,Pyrit,,
,42113,Mineral,,Rhodonit,,
,42113,Mineral,,Quarz,,
,42113,Ore,,Ag-Sulfid-Erz - Gang-Typ,,
41138,,Rock,Impaktbrekzie,,Vereinigte Staaten von Amerika (USA),Missouri
,41138,Mineral,,Quarz,,
,41138,Rock,,Impaktbrekzie,,
36994,,Rock,Granit,,Schweiz,Zürich
,36994,Mineral,,Biotit,,
,36994,Rock,,Granit,,
,36994,Mineral,,Cordierit,,
39615,,,Calcit,Calcit,Schweiz,Bern
,39615,Mineral,,Calcit,,
,39615,Rock,,Kalktuff,,
40782,,,Chalkosin,Chalkosin,Vereinigte Staaten von Amerika (USA),Michigan
,40782,Ore,,Cu-Metall-Erz - Michigan-Typ,,
,40782,Rock,,Basalt s.l.,,
,40782,Mineral,,Chalkosin,,
,40782,Mineral,,Dolomit,,
41317,,,Revoredoit,Revoredoit,Peru,
,41317,Ore,,Pb-Sulfarseniderz - Gang-Typ,,
,41317,Mineral,,Revoredoit,,
16883,,Rock,Impaktbrekzie - Suevit,,Deutschland,Bayern
,16883,Mineral,,Coesit,,
,16883,Mineral,,Stishovit,,
,16883,Rock,,Impaktbrekzie - Suevit,,
40543,,,Kupfer,Kupfer,Vereinigte Staaten von Amerika (USA),Michigan
,40543,Ore,,Cu-Metall-Erz - Michigan-Typ,,
,40543,Mineral,,Albit,,
,40543,Mineral,,Kupfer,,
,40543,Rock,,Basalt s.l.,,
,40543,Mineral,,Calcit,,
34558,,,Quarz,Quarz,Schweiz,Uri
,34558,Rock,,Granit,,
,34558,Mineral,,Apatit,,
,34558,Mineral,,Quarz,,
,34558,Mineral,,Chlorit,,
34347,,,Pyrit,Pyrit,Schweiz,Uri
,34347,Mineral,,Pyrit,,
,34347,Rock,,noch nicht angegeben,,
,34347,Mineral,,Pyrrhotin,,
42600,,,Galenit,Galenit,Oesterreich,Salzburg
,42600,Mineral,,Galenit,,
,42600,Ore,,"Au-Erz, polymetallisch - Gang-Typ",,
,42600,Mineral,,Chalkopyrit,,
42221,,,Arsenopyrit,Arsenopyrit,Schweden,Uppsala län
,42221,Rock,,Marmor s.l.,,
,42221,Ore,,Sulfid-Skarn - Skarn-Typ,,
,42221,Mineral,,Arsenopyrit,,
,42221,Mineral,,Calcit,,
42537,,,Fluorit,Fluorit,Deutschland,Bayern
,42537,Ore,,Fluoritgang - Ba-F-Formation,,
,42537,Mineral,,Baryt,,
,42537,Mineral,,Chalcedon/Chert,,
,42537,Mineral,,Fluorit,,
,42537,Mineral,,Quarz,,
,42537,Mineral,,Quarz,,
48118,,Rock,Amphibolit,,Schweiz,Tessin
,48118,Mineral,,Chlorit,,
,48118,Mineral,,Biotit,,
,48118,Mineral,,Granat,,
,48118,Mineral,,Plagioklas,,
,48118,Rock,,Amphibolit,,
,48118,Mineral,,Hornblende,,
,48118,Mineral,,Ilmenit,,
27014,,Ore,Ni-Silikat-Erz,,Schweiz,Graubünden
,27014,Mineral,,Magnesit,,
,27014,Mineral,,Quarz,,
,27014,Mineral,,Garnierit,,
,27014,Ore,,Ni-Silikat-Erz,,
39234,,Ore,Reduktionshof,,Schweiz,Aargau
,39234,Mineral,,Pechblende Rammelsbergit,,
,39234,Ore,,Reduktionshof,,
,39234,Mineral,,Anatas,,
,39234,Mineral,,Covellin,,
,39234,Mineral,,Roscoelith,,
,39234,Mineral,,Uran-Anatas Uraninit,,
53502,,,Dolomit,Dolomit,Schweiz,Bern
,53502,Rock,,Dolomit - stromatolithisch,,
,53502,Mineral,,Pyrit,,
41257,,,Stibnit,Stibnit,Peru,Huancavelica / Wankawelika / Wankawillka
,41257,Ore,,Pb-Cu-Ag-Sb-Bi-As-Sulfiderz - Gang-Typ,,
,41257,Mineral,,Stibnit,,
42450,,,Galenit,Galenit,Slowakei,Banskobystrický (Banskobystricky )
,42450,Mineral,,Galenit,,
,42450,Mineral,,Sphalerit,,
,42450,Ore,,Pb-Zn-Sulfid-Erz - Gang-Typ,,
39726,,Rock,Migmatit s.l.,,Schweiz,Bern
,39726,Mineral,,Granat,,
,39726,Rock,,Migmatit s.l.,,
32411,,Ore,Fe-Erz magnetitisch - Skarn-Typ,,Schweiz,Wallis
,32411,Mineral,,Hornblende,,
,32411,Mineral,,undefiniert,,
,32411,Mineral,,Magnetit,,
,32411,Ore,,Fe-Erz magnetitisch - Skarn-Typ,,
42346,,,Fluorit,Fluorit,Südafrika,Gauteng / Rhawuti
,42346,Mineral,,Apatit,,
,42346,Mineral,,Fluorit,,
,42346,Rock,,Fluorit-Apatit-Pegmatit,,
41081,,,Baryt,Baryt,Vereinigte Staaten von Amerika (USA),Arkansas
,41081,Ore,,"Baryt, massiv - Flysch-Typ",,
,41081,Mineral,,Baryt,,
39142,,Ore,Reduktionshof,,Schweiz,Aargau
,39142,Mineral,,Pechblende Roscoelith,,
,39142,Mineral,,Uraninit,,
,39142,Ore,,Reduktionshof,,
48136,,Rock,Granat-Amphibolit,,Schweiz,Tessin
,48136,Mineral,,Chlorit,,
,48136,Mineral,,Plagioklas,,
,48136,Rock,,Granat-Amphibolit,,
,48136,Mineral,,Granat,,
,48136,Mineral,,Hornblende,,
,48136,Mineral,,Quarz,,
40893,,,Galenit,Galenit,Deutschland,Nordrhein-Westfalen
,40893,Mineral,,Quarz,,
,40893,Mineral,,Galenit,,
,40893,Mineral,,Sphalerit,,
,40893,Ore,,Pb-Zn-Sulfid-Erz - Gang-Typ,,
31422,,Rock,Granodiorit,,Schweiz,Bern
,31422,Mineral,,Muskovit,,
,31422,Mineral,,Ankerit,,
,31422,Mineral,,Chlorit,,
,31422,Mineral,,Rutil,,
,31422,Rock,,Granodiorit,,
13574,,Rock,Serpentinit,,Grossbritannien / Vereinigtes Königreich,England
,13574,Mineral,,Tremolit,,
,13574,Rock,,Serpentinit,,
,13574,Mineral,,Serpentin,,
41652,,,Phlogopit,Phlogopit,Südafrika,Limpopo
,41652,Mineral,,Phlogopit,,
,41652,Rock,,Dunit (plutonisch),,
32043,,Ore,"Fe-Erz, pisolithisch",,Schweiz,Jura
,32043,Mineral,,Limonit,,
,32043,Ore,,"Fe-Erz, pisolithisch",,
,32043,Mineral,,undef. Eisenhydroxid,,
41504,,,Chalkopyrit,Chalkopyrit,Japan,Hyogo / Hyôgo
,41504,Mineral,,Kassiterit,,
,41504,Mineral,,Chalkopyrit,,
,41504,Mineral,,Pyrit,,
,41504,Ore,,Cu-Sn-Erz - Gang-Typ,,
32874,,Ore,Co-Cu-Sulfarseniderz - metamorph,,Schweiz,Wallis
,32874,Ore,,Co-Cu-Sulfarseniderz - metamorph,,
,32874,Mineral,,Nickelin,,
,32874,Mineral,,Nickel-Skutterudit,,
,32874,Mineral,,Chloanthit,,
42516,,,Galenit,Galenit,Deutschland,Niedersachsen
,42516,Ore,,Pb-Zn-Sulfid-Erz - SEDEX,,
,42516,Mineral,,Sphalerit,,
,42516,Mineral,,Galenit,,
29521,,Rock,Kimberlit - allgemein,,"China, Volksrepublik",Liaoning
,29521,Rock,,Kimberlit - allgemein,,
,29521,Mineral,,Quarz,,
40896,,,Sphalerit,Sphalerit,Deutschland,Nordrhein-Westfalen
,40896,Mineral,,Quarz,,
,40896,Ore,,Zn-Sulfid-Erz - Gang-Typ,,
,40896,Mineral,,Sphalerit,,
33296,,,Calcit,Calcit,Schweiz,Bern
,33296,Rock,,Kalkstein,,
,33296,Mineral,,Calcit,,
41827,,Rock,Wehrlit,,Ungarn,
,41827,Mineral,,Orthopyroxen,,
,41827,Mineral,,Olivin allgemein Klinopyroxen,,
,41827,Mineral,,Olivin,,
,41827,Mineral,,Ilmenit,,
,41827,Rock,,Wehrlit,,
39211,,Ore,Reduktionshof,,Vereinigte Staaten von Amerika (USA),Colorado
,39211,Mineral,,Chromphyllit,,
,39211,Mineral,,Roscoelith,,
,39211,Ore,,Reduktionshof,,
42071,,,Pyrargyrit,Pyrargyrit,Mexiko,México (Mexico)
,42071,Ore,,Ag-Sulfid-Erz - Gang-Typ,,
,42071,Mineral,,Pyrargyrit,,
,42071,Mineral,,Chalkopyrit,,
,42071,Mineral,,Akanthit,,
42156,,Rock,Latiandesit,,Spanien,Andalucía (Andalucia)
,42156,Mineral,,undefiniert,,
,42156,Mineral,,Klinopyroxen,,
,42156,Mineral,,Hornblende,,
,42156,Rock,,Latiandesit,,
32053,,Ore,"Fe-Erz, pisolithisch",,Schweiz,Solothurn
,32053,Ore,,"Fe-Erz, pisolithisch",,
,32053,Mineral,,Limonit,,
,32053,Mineral,,undef. Eisenhydroxid,,
40770,,,Kupfer,Kupfer,Vereinigte Staaten von Amerika (USA),Michigan
,40770,Ore,,Cu-Metall-Erz - Michigan-Typ,,
,40770,Mineral,,Epidot,,
,40770,Rock,,Basalt s.l.,,
,40770,Mineral,,Kupfer,,
,40770,Mineral,,Calcit,,
34425,,,Quarz,Quarz,Schweiz,Uri
,34425,Mineral,,Quarz,,
,34425,Mineral,,Chlorit,,
,34425,Rock,,Granit,,
,34425,Mineral,,Titanit,,
,34425,Mineral,,Apatit,,
42270,,,Turmalin,Turmalin,Schweden,Stockholms län
,42270,Ore,,Lithium-Pegmatit,,
,42270,Mineral,,Turmalin,,
,42270,Mineral,,allgemein,,
,42270,Rock,,Granitpegmatit,,
42628,,,Magnetit,Magnetit,Italien,Piemonte
,42628,Mineral,,Magnetit,,
,42628,Ore,,Fe-Erz magnetitisch - Skarn-Typ,,
,42628,Mineral,,undefiniert,,
,42628,Mineral,,Serpentin,,
32269,,Ore,Cu-Sulfid-Erz - Gang-Typ,,Schweiz,Graubünden
,32269,Mineral,,Malachit,,
,32269,Mineral,,Chlorit,,
,32269,Mineral,,Chalkopyrit,,
,32269,Ore,,Cu-Sulfid-Erz - Gang-Typ,,
,32269,Mineral,,Calcit,,
38737,,Rock,SiO2-zementierte tektonische Brekzie,,Schweiz,Wallis
,38737,Mineral,,Chalcedon/Chert,,
,38737,Mineral,,Quarz,,
,38737,Rock,,SiO2-zementierte tektonische Brekzie,,
39413,,,Quarz,Quarz,Schweiz,Bern
,39413,Mineral,,Quarz,,
,39413,Rock,,Kalkstein,,
41026,,,Sphalerit,Sphalerit,Vereinigte Staaten von Amerika (USA),Missouri
,41026,Mineral,,Sphalerit,,
,41026,Ore,,Zn-Sulfid-Erz - MVT,,
40151,,,Quarz,Quarz,Australien,New South Wales
,40151,Rock,,Basalt s.l.,,
,40151,Mineral,,Chalcedon/Chert,,
,40151,Mineral,,Quarz,,
41485,,,Pyrit,Pyrit,Japan,Ehime
,41485,Ore,,Cu-Sulfid-Erz - metamorph,,
,41485,Mineral,,Chalkopyrit,,
,41485,Mineral,,Pyrit,,
32127,,Ore,Fe-Oolith - Allgemein,,Schweiz,Bern
,32127,Mineral,,Hämatit,,
,32127,Ore,,Fe-Oolith - Allgemein,,
,32127,Mineral,,Chamosit,,
33324,,,Orthoklas,Orthoklas,Schweiz,Tessin
,33324,Mineral,,Quarz,,
,33324,Rock,,Granit,,
,33324,Mineral,,Orthoklas,,
,33324,Mineral,,Mineral nicht bestimmt,,
,33324,Mineral,,(s. Objektbem.),,
41208,,,Famatinit,Famatinit,Peru,Junín / Junin / Hunin
,41208,Ore,,Cu-Sulfid-Erz - Gang-Typ,,
,41208,Mineral,,Famatinit,,
,41208,Mineral,,Pyrit,,
39930,,,Calcit,Calcit,Deutschland,Sachsen-Anhalt
,39930,Rock,,Kalkstein,,
,39930,Mineral,,Calcit,,
39261,,Ore,Reduktionshof,,Grossbritannien / Vereinigtes Königreich,England
,39261,Mineral,,Covellin,,
,39261,Mineral,,Domeykit,,
,39261,Mineral,,Coffinit,,
,39261,Mineral,,Carnotit,,
,39261,Mineral,,Safflorit,,
,39261,Mineral,,Montroseit,,
,39261,Mineral,,Uraninit,,
,39261,Mineral,,Roscoelith,,
,39261,Ore,,Reduktionshof,,
37998,,Ore,Schwermineralkonzentrat,,Australien,Victoria
,37998,Mineral,,Quarz,,
,37998,Ore,,Schwermineralkonzentrat,,
42907,,,Phlogopit,Phlogopit,Südafrika,Gauteng / Rhawuti
,42907,Mineral,,Olivin,,
,42907,Mineral,,Olivin allgemein Chromit,,
,42907,Mineral,,Phlogopit,,
,42907,Mineral,,Ilmenit,,
,42907,Rock,,Kimberlit phlogopitführend - allgemein,,
34359,,Rock,Granit,,Schweiz,Uri
,34359,Mineral,,Chlorit,,
,34359,Rock,,Granit,,
31113,,Ore,Cu-Sulfid-Erz - Redbed-Typ,,Vereinigte Staaten von Amerika (USA),Michigan
,31113,Mineral,,Malachit,,
,31113,Mineral,,Bornit,,
,31113,Ore,,Cu-Sulfid-Erz - Redbed-Typ,,
34134,,Rock,Muskovitschiefer,,Schweiz,Uri
,34134,Rock,,Muskovitschiefer,,
,34134,Mineral,,Sericit,,
,34134,Mineral,,Pyrit,,
,34134,Mineral,,Muskovit,,
,34134,Mineral,,Quarz,,
40319,,Ore,Fe-Oolith göthitisch,,Deutschland,Niedersachsen
,40319,Mineral,,Goethit,,
,40319,Ore,,Fe-Oolith göthitisch,,
42553,,,Sphalerit,Sphalerit,Deutschland,Baden-Württemberg
,42553,Mineral,,Markasit,,
,42553,Mineral,,Sphalerit,,
,42553,Ore,,Pb-Zn-Sulfid-Erz - Gang-Typ,,
,42553,Mineral,,Galenit,,
,42553,Mineral,,Quarz,,
42980,,Rock,Sandstein,,Deutschland,Niedersachsen
,42980,Rock,,Sandstein,,
,42980,Mineral,,Alkalifeldspat,,
,42980,Mineral,,Quarz,,
42880,,,Gold,Gold,Simbabwe / Zimbabwe,Midlands
,42880,Mineral,,Gold,,
,42880,Rock,,Chert,,
26966,,Ore,"Au-Erz, telluridisch - Gang-Typ",,Vereinigte Staaten von Amerika (USA),Colorado
,26966,Mineral,,Fluorit,,
,26966,Ore,,"Au-Erz, telluridisch - Gang-Typ",,
,26966,Mineral,,Stibnit,,
,26966,Mineral,,Pyrit,,
,26966,Mineral,,Calaverit,,
,26966,Mineral,,Quarz,,
2830,,Rock,Gips,,Schweiz,Bern
,2830,Rock,,Gips,,
,2830,Mineral,,Gips,,
11447,,,Bornit,Bornit,Schweiz,Glarus
,11447,Ore,,Cu-Sulfid-Erz - Redbed-Typ,,
,11447,Mineral,,Dolomit,,
,11447,Mineral,,Bornit,,
42308,,Rock,Kalkstein,,Schweiz,Graubünden
,42308,Mineral,,Quarz,,
,42308,Rock,,Kalkstein,,
,42308,Mineral,,Calcit,,
32714,,Ore,Co-Cu-Sulfarseniderz - metamorph,,Schweiz,Wallis
,32714,Mineral,,Limonit,,
,32714,Mineral,,Malachit,,
,32714,Ore,,Co-Cu-Sulfarseniderz - metamorph,,
,32714,Mineral,,undef. Eisenhydroxid,,
32734,,Rock,Chlorit-Schiefer,,Schweiz,Wallis
,32734,Mineral,,Sericit,,
,32734,Rock,,Chlorit-Schiefer,,
,32734,Mineral,,Muskovit,,
,32734,Mineral,,Chlorit,,
42105,,,Akanthit,Akanthit,Mexiko,Guerrero
,42105,Mineral,,Pyrit,,
,42105,Mineral,,Akanthit,,
,42105,Ore,,Ag-Sulfid-Erz - Gang-Typ,,
42332,,Rock,Marmor s.l.,,Schweiz,Graubünden
,42332,Mineral,,Muskovit,,
,42332,Mineral,,Chlorit,,
,42332,Mineral,,Calcit,,
,42332,Mineral,,Sericit Quarz,,
,42332,Rock,,Marmor s.l.,,
34413,,,Chlorit,Chlorit,Schweiz,Uri
,34413,Rock,,Granit,,
,34413,Mineral,,Chlorit,,
30965,,Rock,Gneis s.l.,,Schweiz,Bern
,30965,Mineral,,Epidot,,
,30965,Rock,,Gneis s.l.,,
31118,,,Pyrit,Pyrit,Südafrika,
,31118,Mineral,,Pyrit,,
,31118,Mineral,,Muskovit,,
,31118,Mineral,,Quarz,,
,31118,Ore,,Au-U-Konglomerat - Witwatersrand-Typ,,
,31118,Mineral,,Fuchsit,,
39628,,,Calcit,Calcit,Schweiz,Bern
,39628,Mineral,,Calcit,,
,39628,Rock,,Kalktuff,,
40126,,Rock,SiO2-zementierte tektonische Brekzie,,Schweiz,Wallis
,40126,Mineral,,Molybdänit,,
,40126,Rock,,SiO2-zementierte tektonische Brekzie,,
,40126,Mineral,,Pyrit,,
42459,,,Uraninit,Uraninit,Tschechien,Karlovarský (Karlovarsky )
,42459,Ore,,"Co-Ni-Erz, arsenidisch - Co-Ni-Bi-Ag-U-Erzgang",,
,42459,Mineral,,Erythrin,,
,42459,Mineral,,Uraninit,,
35584,,,Hämatit,Hämatit,Schweiz,Uri
,35584,Mineral,,Apatit,,
,35584,Rock,,Gneis s.l.,,
,35584,Mineral,,Hämatit,,
,35584,Mineral,,Orthoklas,,
,35584,Mineral,,Adular Chlorit,,
27754,,,Jadeit,Jadeit,Schweiz,Bern
,27754,Mineral,,Jadeit,,
,27754,Rock,,Omphacitit,,
