catalog_number,is_part_of,material_category,cataloged_name,authoritative_name,country_name,first_order_division
,39240,Mineral,,Nickelin,,
,39240,Mineral,,Rammelsbergit,,
32738,,Ore,Co-Cu-Sulfarseniderz - metamorph,,Schweiz,Wallis
,32738,Mineral,,Nickel-Skutterudit,,
,32738,Ore,,Co-Cu-Sulfarseniderz - metamorph,,
,32738,Mineral,,Chloanthit Wismut,,
,32738,Mineral,,Linneit,,
35648,,Rock,Gneis s.l.,,Schweiz,Uri
,35648,Rock,,Gneis s.l.,,
,35648,Mineral,,Pyrit,,
39119,,Ore,Reduktionshof,,Schweiz,Aargau
,39119,Mineral,,Pyrit,,
,39119,Ore,,Reduktionshof,,
29248,,Rock,Eklogit (Mantelgestein),,Vereinigte Staaten von Amerika (USA),Colorado
,29248,Rock,,Eklogit (Mantelgestein),,
,29248,Mineral,,Almandin,,
32318,,Ore,Mo-Sulfid-Erz - Gang-Typ,,Schweiz,Bern
,32318,Mineral,,Molybdänit,,
,32318,Ore,,Mo-Sulfid-Erz - Gang-Typ,,
40962,,,Pyrit,Pyrit,Serbien,
,40962,Mineral,,Pyrit,,
,40962,Mineral,,Scheelit,,
,40962,Mineral,,Quarz,,
,40962,Mineral,,Galenit,,
,40962,Ore,,"Au-Sulfid-Erz, pyritisch",,
41338,,,Revoredoit,Revoredoit,Peru,
,41338,Mineral,,Revoredoit,,
,41338,Ore,,Pb-Sulfarseniderz - Gang-Typ,,
31096,,Ore,Cu-Metall-Erz - Michigan-Typ,,Vereinigte Staaten von Amerika (USA),Michigan
,31096,Ore,,Cu-Metall-Erz - Michigan-Typ,,
,31096,Mineral,,Kupfer,,
41529,,,Pyrit,Pyrit,Neuseeland,
,41529,Mineral,,Chalkopyrit,,
,41529,Mineral,,Pyrit,,
,41529,Ore,,Cu-Sulfid-Erz - SEDEX,,
40487,,,Quarz,Quarz,Vereinigte Staaten von Amerika (USA),Michigan
,40487,Mineral,,Quarz,,
,40487,Rock,,Basalt s.l.,,
40491,,,Kupfer,Kupfer,Vereinigte Staaten von Amerika (USA),Michigan
,40491,Mineral,,Quarz,,
,40491,Ore,,Cu-Metall-Erz - Michigan-Typ,,
,40491,Mineral,,Kupfer,,
,40491,Rock,,Basalt s.l.,,
,40491,Mineral,,Epidot,,
32056,,Ore,Fe-Oolith - Allgemein,,Schweiz,Solothurn
,32056,Ore,,Fe-Oolith - Allgemein,,
,32056,Mineral,,undef. Eisenhydroxid,,
,32056,Mineral,,Limonit,,
41433,,,Chalkopyrit,Chalkopyrit,Peru,Moquegua / Moqwegwa / Muqiwa
,41433,Ore,,Cu-Sulfid-Erz - Porphyr-Typ,,
,41433,Mineral,,Chalkopyrit,,
41814,,,Forsterit,Forsterit,Südafrika,Mpumalanga
,41814,Rock,,Komatiit,,
