"name","name_type","name_subtype","variety_of_name"
Enhydro Agate,Variety,,Agate
Eucolite,Variety,,Eudialyte Group
Eucolite-Titanite,Variety,,Yttrium-bearing Titanite
Eupyrchroite,Variety,,Apatite
Exotic limonite,Variety,,Limonite
Eye Agate,Variety,,Agate
Faden Quartz,Variety,,Quartz
Fairburn Agate,Variety,,Fortification Agate
Falcon's Eye,Variety,,Tiger's Eye
False Amethyst,Variety,,Fluorite
Fargite,Variety,,Natrolite
Fassaite,Variety,,Augite
Fatty Amber,Variety,,Amber
Fe-Kaolinite,Variety,,Kaolinite
Fe-pennantite,Variety,,Pennantite
Fe-rich pyroxene,Variety,,Pyroxene Group
Feather pyrite,Variety,,Pyrite
Fedorovite,Variety,,Aegirine
Femaghastingsite,Variety,,Hastingsite
Femolite,Variety,,Molybdenite
Fengluanite,Variety,,Isomertieite
Fensterquarz,Variety,,Quartz
Ferchevkinite,Variety,,Chevkinite Group
Ferri-hydroxykeramohalite,Variety,,Keramohalite
Ferriallophane,Variety,,Allophane
Ferrian Chromite,Variety,,Chromite
Ferrian Garnierite,Variety,,Garnierite
Ferrian Halloysite,Variety,,Halloysite
Ferrian Ilmenite,Variety,,Ilmenite
Ferrian Variscite,Variety,,Variscite
Ferrian Wad,Variety,,Wad
Ferribeidellite,Variety,,Beidellite
Ferrichromite,Variety,,Chromite
Ferriferous pigeonite,Variety,,Pigeonite
Ferrihalloysite-Garnierite,Variety,,Garnierite
Ferrimontmorillonite,Variety,,Montmorillonite
Ferrimuscovite,Variety,,Muscovite
Ferrisicklerite,Variety,,Triphylite
Ferristilpnomelane,Variety,,Stilpnomelane
Ferrithorite,Variety,,Thorite
Ferritungstite,Variety,,Hydrokenoelsmoreite
Ferriturquoise,Variety,,Turquoise
Ferro-Goslarite,Variety,,Goslarite
Ferroamesite,Variety,,Amesite
Ferroaugite,Variety,,Augite
Ferrohedenbergite,Variety,,Augite
Ferrohortonolite,Variety,,Fayalite
Ferrojohannsenite,Variety,,Johannsenite
Ferropericlase,Variety,,Periclase
Ferropickeringite,Variety,,Pickeringite
Ferropicotite,Variety,,Spinel
Ferrosalite,Variety,,Hedenbergite
Ferrostilpnomelane,Variety,,Stilpnomelane
Ferrous freudenbergite,Variety,,Freudenbergite
Ferrowollastonite,Variety,,Wollastonite
Ferruginous Microcline,Variety,,Microcline
Ferruginous Quartz,Variety,,Quartz
Fetid Calcite,Variety,,Calcite
Fibrolite,Variety,,Sillimanite
Fibrous calcite,Variety,,Calcite
Fire Agate,Variety,,Chalcedony
Fire Opal,Variety,,Opal
Float-stone,Variety,,Silica
Flos Ferri,Variety,,Aragonite
Fluor-lepidomelane,Variety,,Lepidomelane
Fluorian Phlogopite,Variety,,Phlogopite
Foamy Amber,Variety,,Amber
Forcherite,Variety,,Opal
Fortification Agate,Variety,,Agate
Fossil Agate,Variety,,Agate
Fowlerite,Variety,,Rhodonite
Framesite ,Variety,,Bort
Freyalite,Variety,,Melanocerite-(Ce)
Frigidite,Variety,,Tetrahedrite Subgroup
Frugardite,Variety,,Vesuvianite
Fuchsite,Variety,,Muscovite
Fucosite,Variety,,Bitumen
Ga-rich plumbogummite,Variety,,Plumbogummite
Gahnospinel,Variety,,Spinel
Galactite,Variety,,Natrolite
Galène tricotée,Variety,,Galena
Gallium-bearing Allanite-(Ce),Variety,,Allanite-(Ce)
Gallium-bearing Chlormayenite,Variety,,Chlormayenite
Gaoshan Stone,Variety,,Dickite
Gavite,Variety,,Talc
Ge-Sn-Sulvanite,Variety,,Sulvanite
Gedanite,Variety,,Amber
Gel-Anatase,Variety,,Anatase
Gel-Bertrandite,Variety,,Bertrandite
Gel-Rutile,Variety,,Rutile
Gel-Thorite,Variety,,Thorite
Geldiadochite,Variety,,Diadochite
Gelfischerite,Variety,,Wavellite
Gelmagnesite,Variety,,Magnesite
Gelpyrit,Variety,,Pyrite
Gelpyrophyllite,Variety,,Pyrophyllite
Geltenorite,Variety,,Tenorite
Gelvariscite,Variety,,Variscite
Gem Blende,Variety,,Sphalerite
Gennoishi,Variety,,Glendonite
Germanate-sodalite,Variety,,Sodalite
Germanian Keithconnite,Variety,,Keithconnite
Germanium-bearing Cuspidine,Variety,,Cuspidine
Gestrickter Bleiglanz,Variety,,Galena
Geyerite,Variety,,Löllingite
Gieseckite,Variety,,Muscovite
Gilbertite,Variety,,Muscovite
Gilpinite,Variety,,Johannite
Ginzburgite (of Chukhrov),Variety,,Clay minerals
Girasol,Variety,,Opal
Glaucopyrite,Variety,,Löllingite
Glendonite,Variety,,Calcite
Glessite,Variety,,Retinite
Gold and Zinc-bearing Copper,Variety,,Copper
Gold Opal,Variety,,Opal
Gold-bearing Chalcopyrite,Variety,,Chalcopyrite
Gold-bearing Galena,Variety,,Galena
Gold-bearing Limonite,Variety,,Limonite
Gold-bearing Linnaeite,Variety,,Linnaeite
Gold-bearing Pyrite,Variety,,Pyrite
Gold-bearing Silver,Variety,,Silver
Gooseberry Stone,Variety,,Grossular
Goshenite,Variety,,Beryl
Grape agate,Variety,,Quartz
Grape Garnet,Variety,,Almandine-Pyrope Series
Grape Willemite,Variety,,Willemite
Greenovite,Variety,,Titanite
Greinerite,Variety,,Dolomite
Grothite,Variety,,Titanite
Grünblende,Variety,,Aegirine-augite
Guadalcazarite,Variety,,Metacinnabar
Guadarramite,Variety,,Ilmenite
Gunnbjarnite,Variety,,Sepiolite
Haema-ovoid-agates,Variety,,Agate
Hafnian Zircon,Variety,,Zircon
Hagatalite,Variety,,Zircon
Hair Amethyst,Variety,,Amethyst
Half-Bornite,Variety,,Bornite
Harlequin Opal,Variety,,Precious Opal
Harrisite (of Dana),Variety,,Chalcocite
Hatchettite,Variety,,Ozocerite
Haydenite,Variety,,Chabazite-Ca
Haytorite,Variety,,Quartz
Hebronite,Variety,,Amblygonite
Hedenbergite-Hypersthene,Variety,,Hedenbergite
Heinekenite,Variety,,Glass
Helenite (of Nawratil),Variety,,Ozocerite
Heliodor,Variety,,Beryl
Hemafibrite,Variety,,Synadelphite
Hematoconite,Variety,,Calcite
Hengleinite,Variety,,Bravoite
Hepatic pyrite,Variety,,Pyrite
Hepatite,Variety,,Baryte
Heptaphyllite,Variety,,Clay minerals
Herbeckite,Variety,,Chalcedony
Herrerite,Variety,,Smithsonite
Hessonite,Variety,,Grossular
Heterophyllite,Variety,,Biotite
Hetian Jade,Variety,,Tremolite Jade
Heubachite,Variety,,Heterogenite
"Hexaferrum-(Fe,Ir)",Variety,,Hexaferrum
"Hexaferrum-(Fe,Os)",Variety,,Hexaferrum
"Hexaferrum-(Fe,Ru)",Variety,,Hexaferrum
Hexagonite,Variety,,Tremolite
Hibschite,Variety,,Grossular
Hiddenite,Variety,,Spodumene
High Albite,Variety,,Albite
High Plagioclase,Variety,,Albite-Anorthite Series
High sanidine,Variety,,Sanidine
High-Hydrated Si-Deficient Vesuvianite,Variety,,Vesuvianite
Hislopite,Variety,,Calcite
Hokutolite,Variety,,Baryte
Honey calcite,Variety,,Calcite
Honey Opal,Variety,,Opal
Honigblende,Variety,,Sphalerite
Hornblende-asbestos,Variety,,Hornblende
Horobetsuite,Variety,,Bismuthinite-Stibnite Series
Hortonolite,Variety,,Fayalite-Forsterite Series
Houghite,Variety,,Hydrotalcite
Hsihutsunite,Variety,,Rhodonite
Huantajayite,Variety,,Halite
Humacite,Variety,,Bitumen
Hyacinth,Variety,,Zircon
Hyalite,Variety,,Opal
Hyalophane,Variety,,Microcline
Hydroandradite,Variety,,Andradite
Hydroascharite,Variety,,Szaibélyite
Hydroauerlite,Variety,,Thorite
Hydrobismutite,Variety,,Bismutite
Hydrogrossular,Variety,,Grossular
Hydrohematite,Variety,,Hematite
Hydrohetaerolite,Variety,,Hetaerolite
Hydrolepidocrocite,Variety,,Lepidocrocite
Hydromaghemite,Variety,,Maghemite
Hydromagnetite,Variety,,Magnetite
Hydrophane,Variety,,Opal
Hydroxy-petscheckite,Variety,,Petscheckite
Hydroxylian Pseudorutile,Variety,,Pseudorutile
Hystatite,Variety,,Ilmenite
Iceland Spar,Variety,,Calcite
Illite,Variety,,Muscovite
Illite Jade,Variety,,Illite
Ilmenorutile,Variety,,Rutile
Imperial Topaz,Variety,,Topaz
Impsonite,Variety,,Pyrobitumen
Incaite,Variety,,Franckeite
Indigenous limonite,Variety,,Limonite
Indium-bearing Sphalerite,Variety,,Sphalerite
Intermediate pigeonite,Variety,,Pigeonite
Iodcarnallite,Variety,,Carnallite
Iodembolite,Variety,,Chlorargyrite
Iodian Bromargyrite,Variety,,Bromargyrite
Iodian Bromian Chlorargyrite,Variety,,Chlorargyrite
Iolite,Variety,,Cordierite
Iridescent Hematite,Variety,,Hematite
Iridian Awaruite,Variety,,Awaruite
Iridian Dienerite,Variety,,Dienerite
Iridian Gold,Variety,,Gold
Iridian isoferroplatinum,Variety,,Isoferroplatinum
Iridian tulameenite,Variety,,Tulameenite
Iridium-bearing Taenite,Variety,,Taenite
Iridosmine,Variety,,Osmium
Iridrhodruthenium,Variety,,Ruthenium
Iris Agate,Variety,,Agate
Iris Quartz,Variety,,Quartz
Irnimite,Variety,,Jasper
Iron Rose,Variety,,Hematite
Iron- and Antimony-bearing Rutile,Variety,,Rutile
Iron-bearing Arthurite,Variety,,Arthurite
Iron-bearing Boothite,Variety,,Boothite
Iron-bearing Boracite,Variety,,Boracite
Iron-bearing Calcite,Variety,,Calcite
Iron-bearing Cobaltite,Variety,,Cobaltite
Iron-bearing Dolomite,Variety,,Dolomite
Iron-bearing Epsomite,Variety,,Epsomite
Iron-bearing Magnesite,Variety,,Magnesite
Iron-bearing Olenite,Variety,,Olenite
Iron-bearing Phlogopite,Variety,,Phlogopite
Iron-bearing Saponite,Variety,,Saponite
Iron-bearing Starkeyite,Variety,,Starkeyite
Iron-bearing Trevorite,Variety,,Trevorite
Iron-bearing Wodginite,Variety,,Wodginite
Iron-bearing Zakharovite,Variety,,Zakharovite
Iron-magnesia Spinel,Variety,,Spinel
Iron(II)-bearing muscovite,Variety,,Muscovite
Iron(III)-bearing Ilmenite,Variety,,Ilmenite
Iserine,Variety,,Ilmenite
Iserite (of Janovsky),Variety,,Rutile
Ishkildite,Variety,,Chrysotile
Ishkulite,Variety,,Magnetite
Isopyre,Variety,,Opal
Jacinto de Compostela,Variety,,Quartz
Jargoon,Variety,,Zircon
Jasper,Variety,,Chalcedony
Jasper Opal,Variety,,Opal
Jaulingite,Variety,,Amber
Jedi spinel,Variety,,Spinel
Jelinite,Variety,,Amber
Jelly Opal,Variety,,Opal
Jenkinsite,Variety,,Antigorite
Jian forsterite jade,Variety,,Forsterite
Johnstonite (of Haidinger),Variety,,Galena
Johnstonotite,Variety,,Spessartine
Justite (of Hofmann-Degen),Variety,,Åkermanite
Kalipyrochlore (of Hogarth 1977),Variety,,Hydropyrochlore
Kamacite,Variety,,Iron
Kanonenspat,Variety,,Calcite
Kasoite,Variety,,Celsian
Kasparite,Variety,,Pickeringite
Kavkazite,Variety,,Petroleum
Keatingine,Variety,,Bustamite
Keilhauite,Variety,,Titanite
kellerite,Variety,,Pentahydrite
Kembleite,Variety,,Meionite
Kennedyite,Variety,,Pseudobrookite
Kenngottite (of Gagarin and Cuomo),Variety,,Arsenolite
Keramite (of Hunt),Variety,,Kaolinite
Keramsite,Variety,,Clay minerals
Keystonite Chalcedony,Variety,,Chalcedony
Kibdelophane,Variety,,Ilmenite
Kidney Ore,Variety,,Hematite
Killiecrankie Diamond,Variety,,Topaz
Kinradite,Variety,,Jasper
Kirovite,Variety,,Melanterite
Kitaibelite,Variety,,Pavonite
Kittlite,Variety,,Metacinnabar
Knebelite,Variety,,Fayalite-Tephroite Series
Knipovichite,Variety,,Alumohydrocalcite
Knopite,Variety,,Perovskite
Knoxvillite,Variety,,Magnesiocopiapite
Kobalt-oligonspath,Variety,,Siderite
Kobaltfahlerz,Variety,,Tetrahedrite Subgroup
Kochenite,Variety,,Amber
Kokardenerz,Variety,,Sphalerite
Kolloid-calcite,Variety,,Calcite
Kolloid-magnesite,Variety,,Magnesite
Kolloid-siderite,Variety,,Siderite
Kolosorukite,Variety,,Jarosite
Kondrikovite,Variety,,Natrolite
Kongsbergite,Variety,,Silver
Korea-Augite,Variety,,Augite
Kreittonite,Variety,,Gahnite
Kularite,Variety,,Monazite-(Ce)
Kunzite,Variety,,Spodumene
Kupferblau,Variety,,Azurite
Kupfferite (of Koksarov),Variety,,Anthophyllite
Küstelite,Variety,,Silver
Labradorite,Variety,,Anorthite
Lady's Slipper,Variety,,Siderite
Laguna Agate,Variety,,Agate
Lake Superior Agate,Variety,,Agate
Landscape Agate,Variety,,Chalcedony
Larimar,Variety,,Pectolite
Lavender Jade,Variety,,Jadeite
Lavernite,Variety,,Periclase
Lavrovite,Variety,,Diopside
Lazarevicite,Variety,,Arsenosulvanite
Lazur-Apatite,Variety,,Apatite
Lazur-Feldspath,Variety,,Oligoclase
Lead Glass,Variety,,Glass
"Lead-, Arsenic- and Antimony-bearing Atokite",Variety,,Atokite
Lead-bearing Aragonite,Variety,,Aragonite
Lead-bearing Calcite,Variety,,Calcite
Lead-bearing Ferdowsiite,Variety,,Ferdowsiite
Lead-bearing Gold,Variety,,Gold
Lead-bearing Keithconnite,Variety,,Keithconnite
Lead-bearing Rhabdophane-(Ce),Variety,,Rhabdophane-(Ce)
Lead-bearing Tennantite,Variety,,Tennantite Subgroup
Lead-bearing Tetrahedrite,Variety,,Tetrahedrite Subgroup
Lechosos Opal,Variety,,Precious Opal
Ledererite,Variety,,Gmelinite Subgroup
Lederite (of Shepard),Variety,,Titanite
Ledo frozen fire,Variety,,Corundum
Lemon Opal,Variety,,Opal
Leonhardite,Variety,,Laumontite
Leopardenerz,Variety,,Chromite
Lepidomelane,Variety,,Mica Group
Leucaugite,Variety,,Diopside
Leuchtenbergite,Variety,,Clinochlore
Leuco garnet,Variety,,Grossular
Leucochalcite,Variety,,Olivenite
Leukogranat,Variety,,Grossular
Leverrierite,Variety,,Illite
Leviglianite,Variety,,Metacinnabar
Levin Opal,Variety,,Precious Opal
Liebenerite,Variety,,Muscovite
Lime-Bronzite,Variety,,Enstatite
Lime-Dravite,Variety,,Dravite
Lime-Malachite,Variety,,Malachite
Limestone Onyx,Variety,,Calcite
Liminitogelite,Variety,,Stilpnosiderite
Limnite,Variety,,Limonite
Lindsayite,Variety,,Anorthite
Linosite,Variety,,Kaersutite
Lithian excess-boron olenite,Variety,,Olenite
Lithian Magnesite,Variety,,Magnesite
Lithian Saponite,Variety,,Saponite
Lithian Wad,Variety,,Wad
Lithium Muscovite (of Levinson),Variety,,Muscovite
Lithium Quartz,Variety,,Quartz
Lithium Tosudite,Variety,,Tosudite
Liver Opal,Variety,,Opal
Lluvisnando opal,Variety,,Opal
Lodestone,Variety,,Magnetite
Lonchidite,Variety,,Marcasite
Lovchorrite,Variety,,Mosandrite-(Ce)
Low Albite,Variety,,Albite
Low sanidine,Variety,,Sanidine
Lublinite,Variety,,Calcite
Lucasite (of Chatard),Variety,,Vermiculite
Lusakite,Variety,,Staurolite
Lussatite,Variety,,Opal-CT
Lusterite,Variety,,Rutile
Lvwen Stone,Variety,,Calcite
Lynx Eye,Variety,,Labradorite
Maclureite,Variety,,Norbergite
Maclurite (of Nuttall and Torrey),Variety,,Diopside
Magnesian pigeonite,Variety,,Pigeonite
Magnesiomargarite,Variety,,Margarite
Magnesiowüstite,Variety,,Wüstite
Magnesium and Chromium-bearing Ilmenite,Variety,,Ilmenite
Magnesium and Chromium-bearing Spinel,Variety,,Spinel
Magnesium and Iron(III)-bearing Ilmenite,Variety,,Iron(III)-bearing Ilmenite
Magnesium Tosudite,Variety,,Tosudite
Magnesium-bearing Annabergite,Variety,,Annabergite
Magnesium-bearing Boothite,Variety,,Boothite
Magnesium-bearing Goslarite,Variety,,Goslarite
Magnesium-bearing Grossular,Variety,,Grossular
Magnesium-bearing Ilmenite,Variety,,Ilmenite
Magnesium-bearing Melanterite,Variety,,Melanterite
Magnesium-bearing Morenosite,Variety,,Morenosite
Magnesium-bearing Schorl,Variety,,Schorl
Magnesium-bearing Siderophyllite,Variety,,Siderophyllite
Magnesium-bearing tephroite,Variety,,Tephroite
Magnesium-bearing Xonotlite,Variety,,Xonotlite
Magnetoilmenite,Variety,,Ilmenite
Magniotriplite,Variety,,Wagnerite
Magnochromite,Variety,,Spinel
Magnomagnetite,Variety,,Magnetite
Malacon,Variety,,Zircon
Manasi Jade,Variety,,Tremolite Jade
Mangan-diaspore,Variety,,Diaspore
Manganapatite,Variety,,Fluorapatite
Manganese Dendrites,Variety,,Manganese Oxides
Manganese-bearing Adamite,Variety,,Adamite
Manganese-bearing Ankerite,Variety,,Ankerite
Manganese-bearing Apatite-(CaOH),Variety,,Hydroxylapatite
Manganese-bearing Brucite,Variety,,Brucite
Manganese-bearing Calcite,Variety,,Calcite
Manganese-bearing Cobaltlotharmeyerite,Variety,,Cobaltlotharmeyerite
Manganese-bearing Dolomite,Variety,,Dolomite
Manganese-bearing Epsomite,Variety,,Epsomite
Manganese-bearing Fluorapatite,Variety,,Fluorapatite
Manganese-bearing Gahnite,Variety,,Gahnite
Manganese-bearing Goldmanite,Variety,,Goldmanite
Manganese-bearing Grossular,Variety,,Grossular
Manganese-bearing Hedenbergite,Variety,,Hedenbergite
Manganese-bearing Hellandite-(Y),Variety,,Hellandite-(Y)
Manganese-bearing Hematite,Variety,,Hematite
Manganese-bearing Ilmenite,Variety,,Ilmenite
Manganese-bearing Jamesonite,Variety,,Jamesonite
Manganese-bearing Melanterite,Variety,,Melanterite
Manganese-bearing Pectolite,Variety,,Pectolite
Manganese-bearing Pellyite,Variety,,Pellyite
Manganese-bearing Phlogopite,Variety,,Phlogopite
Manganese-bearing Pickeringite,Variety,,Pickeringite
Manganese-bearing rockbridgeite,Variety,,Rockbridgeite
Manganese-bearing Siderite,Variety,,Siderite
Manganese-bearing Stilpnomelane,Variety,,Stilpnomelane
Manganese-bearing Trilithionite,Variety,,Trilithionite
Manganese-bearing Vesuvianite,Variety,,Vesuvianite
Mangangoslarite,Variety,,Goslarite
Manganilmenite,Variety,,Ilmenite
Manganmagnetite,Variety,,Magnetite
Manganoparawollastonite,Variety,,Wollastonite
Manganophyllite,Variety,,Biotite
Manganosphaerite,Variety,,Siderite
Manganoxydaluminit,Variety,,Wad
Mariposite,Variety,,Phengite
Markovnikite,Variety,,Petroleum
Marmairolite,Variety,,Richterite
Marmatite,Variety,,Sphalerite
Marmolite,Variety,,Serpentine Subgroup
Marsyatskite,Variety,,Glauconite
Martensite,Variety,,Iron
Martinite (of Kloos),Variety,,Whitlockite
Martite,Variety,,Hematite
Mascareignite,Variety,,Opal
Masonite,Variety,,Chloritoid
Masrite,Variety,,Halotrichite
Mátraite,Variety,,Sphalerite
Matura Diamond,Variety,,Zircon
Matveevite,Variety,,Benyacarite
Mauzeliite,Variety,,Roméite Group
Mayberyite,Variety,,Petroleum
Meiling Jade,Variety,,Tremolite Jade
Meißelspat,Variety,,Baryte
Melanite,Variety,,Andradite
Melanosiderite,Variety,,Ferrihydrite
Mendeleevite (of Vernadsky 1914),Variety,,Pyrochlore Supergroup
Mercurian Cadmoselite,Variety,,Cadmoselite
Mercurian Gold,Variety,,Gold
Mercurian Stromeyerite,Variety,,Stromeyerite
Mercuroan Bromargyrite,Variety,,Bromargyrite
Mercury-bearing Sphalerite,Variety,,Sphalerite
Mercury-bearing Tennantite,Variety,,Tennantite Subgroup
Mercury-bearing Tetrahedrite,Variety,,Tetrahedrite Subgroup
Mesitine Spar,Variety,,Iron-bearing Magnesite
Mesoperthite,Variety,,Perthite
Messerspat,Variety,,Baryte
Meta-jarlite,Variety,,Jarlite
Metaberyllite,Variety,,Beryllite
Metatriplite,Variety,,Triplite
Metaxite (of de Fourestier),Variety,,Serpentine Subgroup
Mexican Fire Opal,Variety,,Opal
Mexican Jade,Variety,,Calcite
Mexican Lace Agate,Variety,,Agate
Mg-Fillowite,Variety,,Fillowite
Mg-rich Calcite,Variety,,Calcite
Mg-rich Dolomite,Variety,,Dolomite
Mg-rich Erythrite,Variety,,Erythrite
Mg-rich Siderite,Variety,,Siderite
Mg-Titanomagnetite,Variety,,Magnetite
Mg(T) Mica,Variety,,Biotite
Milk Opal,Variety,,Opal
Milky Quartz,Variety,,Quartz
Mn-Tourmaline,Variety,,Tourmaline
Mocha Stone,Variety,,Agate
Mohrenkopfturmalin,Variety,,Tourmaline
Molybdenian Stolzite,Variety,,Stolzite
Molybdoscheelite,Variety,,Scheelite
Molybdosodalite,Variety,,Sodalite
Monheimite,Variety,,Smithsonite
Moor's head tourmaline,Variety,,Tourmaline
Mooraboolite,Variety,,Natrolite
Moqi agate,Variety,,Agate
Morganite,Variety,,Beryl
Moroxite,Variety,,Apatite
Morvenite,Variety,,Harmotome
Moss Agate,Variety,,Chalcedony
Moss Opal,Variety,,Opal
Mother of Opal,Variety,,Precious Opal
Mountain Cork,Variety,,Asbestos
Mountain Leather,Variety,,Asbestos
Mountain Opal,Variety,,Opal
Mountain Paper,Variety,,Asbestos
Mountain Wood,Variety,,Asbestos
Mozambikite,Variety,,Thorite
Mt St Helens Stone,Variety,,Glass
Muckite,Variety,,Retinite
Munkforssite,Variety,,Chlorapatite
Munktenite,Variety,,Amber
Muntenite,Variety,,Amber
Mushketovite,Variety,,Magnetite
Mutabilite,Variety,,Cyclite
Mutzschen Diamonds,Variety,,Quartz
Myrickite,Variety,,Chalcedony
Mysorin,Variety,,Malachite
"Na-(Mg,Fe)-margarite",Variety,,Margarite
Nadelpyrit,Variety,,Pyrite
Naegite,Variety,,Zircon
Nagatelite,Variety,,Allanite-(Ce)
Nailhead Spar,Variety,,Calcite
Nakaseite,Variety,,Senandorite
Nano-Polycrystalline Diamond,Variety,,Diamond
Native Amalgam,Variety,,Silver
Natrobistantite,Variety,,Zero valent dominant member of the Microlite Group
Natronbiotite,Variety,,Biotite
Natronkalisimonyit,Variety,,Blödite
Needle Tin,Variety,,Cassiterite
Nemalite,Variety,,Brucite
Ni-Serpentine,Variety,,Serpentine Subgroup
Nickel and Chromium-rich Illite,Variety,,Illite
Nickel-bearing Adamite,Variety,,Adamite
Nickel-bearing Ankerite,Variety,,Ankerite
Nickel-bearing Calcite,Variety,,Calcite
Nickel-bearing Clinochlore,Variety,,Clinochlore
Nickel-bearing Copper,Variety,,Copper
Nickel-bearing Gold,Variety,,Gold
Nickel-bearing Lizardite,Variety,,Lizardite
Nickel-bearing Magnesite,Variety,,Magnesite
Nickel-bearing Magnetite,Variety,,Magnetite
Nickel-bearing Psilomelane,Variety,,Psilomelane
Nickel-bearing Pyrite,Variety,,Pyrite
Nickel-bearing Pyrrhotite,Variety,,Pyrrhotite
Nickel-bearing Rosasite,Variety,,Rosasite
Nickel-bearing Serpentine,Variety,,Serpentine Subgroup
Nickel-bearing Talmessite,Variety,,Talmessite
Nickel-bearing Tourmaline,Variety,,Tourmaline
Nigrine,Variety,,Rutile
Niobian Brookite,Variety,,Brookite
Niobian Ferberite,Variety,,Ferberite
Niobium- and Chromium-bearing Rutile,Variety,,Rutile
Niobium-bearing Anatase,Variety,,Anatase
Niobium-bearing Rutile,Variety,,Rutile
Niobochevkinite,Variety,,Chevkinite-(Ce)
Nioboloparite,Variety,,Loparite-(Ce)
Niobozirconolite,Variety,,Zirconolite
Nipomo Agate,Variety,,Chalcedony
Nivenite,Variety,,Uraninite
Nussièrite,Variety,,Pyromorphite
Nuttalite,Variety,,Scapolite
Nuttallite,Variety,,Meionite
Oakstone,Variety,,Baryte
Oellacherite,Variety,,Muscovite
Oerstedite,Variety,,Zircon
Oerstedtite,Variety,,Zircon
Oil Quartz,Variety,,Quartz
Oktibbehite,Variety,,Nickel
Oligoclase,Variety,,Albite
Oligoclase-Albite,Variety,,Oligoclase
Oligonite,Variety,,Siderite
Olivinoid,Variety,,Olivine
Onyx,Variety,,Agate
Onyx Opal,Variety,,Opal
Oolitic Opal,Variety,,Opal
Opal Matrix,Variety,,Precious Opal
Opal-A,Variety,,Opal
Opal-AG,Variety,,Opal-A
Opal-Agate,Variety,,Opal
Opal-AN,Variety,,Opal-A
Opal-C,Variety,,Opal
Opal-CT,Variety,,Opal
Opal-Jasper,Variety,,Opal
Opaline,Variety,,Opal
Orangite,Variety,,Thorite
Ordite,Variety,,Gypsum
Oregon Sunstone,Variety,,Labradorite
Oriental Amethyst,Variety,,Corundum
Oriental Emerald,Variety,,Corundum
Oriental Topaz,Variety,,Corundum
Orlets,Variety,,Rhodonite
Ornithite,Variety,,Carbonate-rich Hydroxylapatite
Orvillite,Variety,,Zircon
Osmiridium,Variety,,Iridium
Osseous Amber,Variety,,Amber
Osteolith,Variety,,Apatite
Owyhee Jasper,Variety,,Jasper
Oxy-petscheckite,Variety,,Petscheckite
Oxybiotite,Variety,,Biotite
Oxychlorite,Variety,,Chlorite Group
Oyamalite,Variety,,Zircon
Pachea,Variety,,Beryl
Padmaragaya,Variety,,Corundum
Padparadscha,Variety,,Sapphire
Painter Boulder,Variety,,Precious Opal
Palladium- and Platinum-bearing Tetra-auricupride,Variety,,Tetra-auricupride
Palladium-bearing Cobaltite,Variety,,Cobaltite
Palladium-bearing Copper,Variety,,Copper
Palladium-bearing Gold,Variety,,Gold
Palladium-bearing Melonite,Variety,,Melonite
Palladium-bearing Pentlandite,Variety,,Pentlandite
Palladium-bearing Platinum,Variety,,Platinum
Palladium-bearing Tetra-auricupride,Variety,,Tetra-auricupride
Papierspat,Variety,,Calcite
Para-Kupferglanz,Variety,,Chalcocite
Paradoxite,Variety,,Orthoclase
Paraíba Tourmaline,Variety,,Copper-bearing Elbaite
Parakaolinite,Variety,,Kaolinite
Pastelite,Variety,,Jasper
Patagosite,Variety,,Calcite
Patricianite,Variety,,Prehnite
Pearl Aura,Variety,,Aqua Aura
Pecos Diamonds,Variety,,Quartz
Pelagosite,Variety,,Aragonite
Pelhamine,Variety,,Serpentine Subgroup
Pennine,Variety,,Clinochlore
Penninite,Variety,,Clinochlore
Pericline,Variety,,Albite
Peridot,Variety,,Forsterite
Peristerite,Variety,,Albite
Persbergite,Variety,,Muscovite
Perthite,Variety,,Feldspar Group
Petschite,Variety,,Scapolite
PGE-rich Chalcopyrite,Variety,,Chalcopyrite
Phacolite,Variety,,Chabazite
Phantomquarz,Variety,,Quartz
Phengite,Variety,,Muscovite
Philipstadite,Variety,,Ferro-hornblende
Phillipite,Variety,,Chalcanthite
Phosphate-Allophane,Variety,,Allophane
Phosphoralunogen,Variety,,Alunogen
Phosphoscorodite,Variety,,Scorodite
Phosphothorite,Variety,,Thorite
Picotite,Variety,,Hercynite
Picrochromite,Variety,,Magnesiochromite
Picrocrichtonite,Variety,,Ilmenite
Picroilmenite,Variety,,Ilmenite
Picrolite,Variety,,Serpentine Subgroup
Picrotephroite,Variety,,Tephroite
Picrotitanite,Variety,,Ilmenite
Pietersite,Variety,,Chalcedony
Pigeon Blood Agate,Variety,,Agate
Pilarite,Variety,,Chrysocolla
Pilite,Variety,,Olivine
Pineapple Opal,Variety,,Opal
Pinfire Opal,Variety,,Precious Opal
Pipe Opal,Variety,,Opal
Pissophanite,Variety,,Paraluminite
Pistomesite,Variety,,Mg-rich Siderite
Pitch Opal,Variety,,Opal
Pitchblende,Variety,,Uraninite
Plaffeiite,Variety,,Amber
Plasma,Variety,,Chalcedony
Platarsite,Variety,,Sperrylite
Platiniridium,Variety,,Iridium
Platinoshuangfengite,Variety,,Shuangfengite
Platinum-bearing Gold,Variety,,Gold
Platinum-bearing Palladium,Variety,,Palladium
Platosmiridium,Variety,,Iridium
Plazolite,Variety,,Grossular
Pleonaste,Variety,,Spinel
Plumballophane,Variety,,Allophane
Plumbeine,Variety,,Galena
